step,loss_bn_a,loss_bn_b,loss_reset,loss_recalc,acc_bn_a,acc_bn_b,acc_reset,acc_recalc
1,1.0403826236724854,2.062584400177002,3.509836435317993,1.0398340225219727,0.9098999500274658,0.41169998049736023,0.6132000088691711,0.9104999899864197
2,1.0419762134552002,1.0419762134552002,3.3572778701782227,1.0395448207855225,0.9093999862670898,0.9093999862670898,0.6141999959945679,0.9099000096321106
3,1.0444689989089966,1.044468879699707,3.21290922164917,1.0407681465148926,0.9090999960899353,0.9090999364852905,0.6139999628067017,0.910099983215332
4,1.0479001998901367,1.0479001998901367,3.075289249420166,1.0419235229492188,0.9088000059127808,0.9088000059127808,0.6132999658584595,0.9095999598503113
5,1.0523858070373535,1.0523858070373535,2.9451041221618652,1.0424695014953613,0.9070999622344971,0.9070999622344971,0.6137000322341919,0.9098999500274658
6,1.0580679178237915,1.0580679178237915,2.8220324516296387,1.0434027910232544,0.9045999646186829,0.9045999646186829,0.6126999855041504,0.9091999530792236
7,1.065183401107788,1.065183401107788,2.7054696083068848,1.0448514223098755,0.9012999534606934,0.9012999534606934,0.6114000082015991,0.9090999364852905
8,1.0739946365356445,1.0739946365356445,2.5966544151306152,1.045583963394165,0.8966000080108643,0.8966000080108643,0.6105999946594238,0.9092999696731567
9,1.084923267364502,1.084923267364502,2.492673397064209,1.0470925569534302,0.8931000232696533,0.8930999636650085,0.609499990940094,0.9088999629020691
10,1.0984537601470947,1.0984537601470947,2.39534592628479,1.0488178730010986,0.8871999382972717,0.8871999382972717,0.6091999411582947,0.9079999923706055
11,1.1151624917984009,1.1151626110076904,2.3049705028533936,1.049791932106018,0.8797999620437622,0.8797999620437622,0.608199954032898,0.9078999757766724
12,1.1359782218933105,1.1359782218933105,2.2209911346435547,1.0526622533798218,0.8691999912261963,0.8691999912261963,0.6061999797821045,0.9073999524116516
13,1.1621103286743164,1.1621103286743164,2.1427791118621826,1.0547391176223755,0.8566999435424805,0.8567000031471252,0.6043999791145325,0.906999945640564
14,1.194468379020691,1.1944682598114014,2.0707523822784424,1.0569370985031128,0.8416999578475952,0.8416999578475952,0.6019999980926514,0.9057999849319458
15,1.2345054149627686,1.2345054149627686,2.0047783851623535,1.0595505237579346,0.8232999444007874,0.8233000040054321,0.5996999740600586,0.9056999683380127
16,1.2832361459732056,1.2832362651824951,1.9452507495880127,1.0624414682388306,0.7993999719619751,0.7993999719619751,0.5972000360488892,0.9053999781608582
17,1.340879201889038,1.3408790826797485,1.8923087120056152,1.0655944347381592,0.7724999785423279,0.7724999785423279,0.5956000089645386,0.9053999781608582
18,1.407759428024292,1.4077593088150024,1.845254898071289,1.070158839225769,0.739799976348877,0.739799976348877,0.5928999781608582,0.9041999578475952
19,1.482703685760498,1.4827035665512085,1.8048069477081299,1.0738461017608643,0.6978999376296997,0.6978999972343445,0.5895999670028687,0.9026999473571777
20,1.5649889707565308,1.5649889707565308,1.77088463306427,1.0795173645019531,0.654699981212616,0.654699981212616,0.5880999565124512,0.9015999436378479
21,1.6519417762756348,1.6519417762756348,1.7431151866912842,1.0853182077407837,0.6011999845504761,0.6011999845504761,0.5856999754905701,0.9010000228881836
22,1.7409104108810425,1.7409104108810425,1.7218817472457886,1.0914719104766846,0.5455999970436096,0.5455999374389648,0.5822999477386475,0.8987999558448792
23,1.8294404745101929,1.8294404745101929,1.7067692279815674,1.0979812145233154,0.4878999888896942,0.4878999590873718,0.5789999961853027,0.8971999883651733
24,1.9136285781860352,1.9136286973953247,1.69782555103302,1.1063263416290283,0.43229997158050537,0.43229997158050537,0.5755000114440918,0.8937999606132507
25,1.9913983345031738,1.9913983345031738,1.6948282718658447,1.1145081520080566,0.37299996614456177,0.37299999594688416,0.5708999633789062,0.8919999599456787
26,2.061163902282715,2.0611636638641357,1.6975733041763306,1.123084306716919,0.3122999668121338,0.3122999966144562,0.5653999447822571,0.889799952507019
27,2.1208550930023193,2.1208550930023193,1.7054781913757324,1.1336021423339844,0.26330000162124634,0.26330000162124634,0.5618999600410461,0.8862999677658081
28,2.1705195903778076,2.1705195903778076,1.7182888984680176,1.1444544792175293,0.2134999930858612,0.2134999930858612,0.5564000010490417,0.8849999904632568
29,2.2106001377105713,2.2106001377105713,1.7352359294891357,1.1578195095062256,0.17499999701976776,0.17499999701976776,0.5512000322341919,0.8808000087738037
30,2.24117374420166,2.24117374420166,1.756079912185669,1.1691840887069702,0.14589999616146088,0.14589999616146088,0.545799970626831,0.8770999908447266
31,2.264082431793213,2.264082431793213,1.7799841165542603,1.1847422122955322,0.12020000070333481,0.12019999325275421,0.5392000079154968,0.8732999563217163
32,2.2802672386169434,2.2802672386169434,1.8063602447509766,1.20021653175354,0.1039000004529953,0.1039000004529953,0.5332000255584717,0.8675999641418457
33,2.2913246154785156,2.2913246154785156,1.8346283435821533,1.2189925909042358,0.09279999881982803,0.09279999881982803,0.5266000032424927,0.8629000186920166
34,2.2984120845794678,2.2984118461608887,1.8642096519470215,1.240713357925415,0.08139999955892563,0.08139999210834503,0.5216000080108643,0.8560999631881714
35,2.302614212036133,2.302614212036133,1.89469313621521,1.2592318058013916,0.07529999315738678,0.07529999315738678,0.5143999457359314,0.8504999876022339
36,2.3048057556152344,2.3048059940338135,1.9254766702651978,1.2837435007095337,0.07289999723434448,0.07289999723434448,0.5069000124931335,0.8431999683380127
