step,loss_bn_a,loss_bn_b,loss_reset,loss_recalc,acc_bn_a,acc_bn_b,acc_reset,acc_recalc
1,1.0336359739303589,2.102126121520996,1.701284646987915,1.0341620445251465,0.9149999618530273,0.3116999864578247,0.5601999759674072,0.9129999876022339
2,1.0350780487060547,1.0350780487060547,1.6920658349990845,1.0337746143341064,0.913100004196167,0.913100004196167,0.5674999952316284,0.9139999747276306
3,1.0375725030899048,1.0375726222991943,1.6844937801361084,1.0345828533172607,0.9107999801635742,0.9107999801635742,0.5763999819755554,0.9132000207901001
4,1.0412766933441162,1.0412766933441162,1.6786391735076904,1.0354406833648682,0.9101999998092651,0.9101999998092651,0.5809000134468079,0.9143999814987183
5,1.046281337738037,1.046281337738037,1.6739407777786255,1.0361579656600952,0.9079999923706055,0.9079999923706055,0.585099995136261,0.9143999814987183
6,1.0528942346572876,1.0528943538665771,1.67072594165802,1.0371187925338745,0.9050999879837036,0.9050999879837036,0.5894999504089355,0.9140999913215637
7,1.061285376548767,1.061285376548767,1.6683944463729858,1.0381397008895874,0.9011999368667603,0.9011999368667603,0.5927000045776367,0.9142000079154968
8,1.072011113166809,1.072011113166809,1.6671922206878662,1.0389419794082642,0.8965999484062195,0.8966000080108643,0.5958999395370483,0.9138000011444092
9,1.0854426622390747,1.0854426622390747,1.6669654846191406,1.0408415794372559,0.8890999555587769,0.8890999555587769,0.5983999967575073,0.9128999710083008
10,1.1025229692459106,1.1025229692459106,1.6678792238235474,1.0420048236846924,0.8809999823570251,0.8809999227523804,0.6017999649047852,0.9120999574661255
11,1.1241109371185303,1.1241109371185303,1.6697907447814941,1.0435211658477783,0.8709999918937683,0.8709999322891235,0.6043999791145325,0.9118999242782593
12,1.1513997316360474,1.1513997316360474,1.672968864440918,1.045135259628296,0.856499969959259,0.856499969959259,0.6067000031471252,0.9112999439239502
13,1.1856985092163086,1.1856982707977295,1.6771557331085205,1.047176480293274,0.8394999504089355,0.8394999504089355,0.6110999584197998,0.9108999371528625
14,1.2284018993377686,1.228402018547058,1.6828372478485107,1.0491666793823242,0.8137999773025513,0.8137999773025513,0.6144999861717224,0.9104999303817749
15,1.2803337574005127,1.2803336381912231,1.6898692846298218,1.0518653392791748,0.7842000126838684,0.7841999530792236,0.6155999898910522,0.9098999500274658
16,1.3426344394683838,1.3426345586776733,1.69841468334198,1.054286241531372,0.7505999803543091,0.7505999803543091,0.6177999973297119,0.9088999629020691
17,1.4150992631912231,1.4150991439819336,1.7084364891052246,1.0567878484725952,0.7055999636650085,0.7055999636650085,0.6205999851226807,0.9077999591827393
18,1.4972994327545166,1.4972994327545166,1.7199150323867798,1.0604770183563232,0.6500999927520752,0.6500999927520752,0.6212999820709229,0.9070999622344971
19,1.5872795581817627,1.5872794389724731,1.7330210208892822,1.0636576414108276,0.5917999744415283,0.5917999744415283,0.6234999895095825,0.9058999419212341
20,1.6823182106018066,1.6823182106018066,1.7474124431610107,1.0678761005401611,0.5247999429702759,0.5247999429702759,0.6243000030517578,0.9053000211715698
21,1.779306411743164,1.779306411743164,1.7631964683532715,1.0719094276428223,0.45559999346733093,0.45559999346733093,0.6259999871253967,0.902999997138977
22,1.8749256134033203,1.8749256134033203,1.7800090312957764,1.0766650438308716,0.3880999982357025,0.3880999684333801,0.6251999735832214,0.9020999670028687
23,1.9658381938934326,1.9658381938934326,1.7979955673217773,1.0828142166137695,0.32259997725486755,0.32260000705718994,0.6261999607086182,0.9002999663352966
24,2.0493719577789307,2.0493719577789307,1.8167343139648438,1.0891547203063965,0.267300009727478,0.267300009727478,0.6246999502182007,0.8971999883651733
25,2.1238784790039062,2.1238784790039062,1.836134672164917,1.0958408117294312,0.22110000252723694,0.22110000252723694,0.6231999397277832,0.8952999711036682
26,2.188145637512207,2.188145637512207,1.856144666671753,1.1037940979003906,0.18439999222755432,0.18439999222755432,0.6220999956130981,0.892300009727478
27,2.241537094116211,2.241537094116211,1.8763043880462646,1.1122030019760132,0.15869998931884766,0.15870000422000885,0.6169999837875366,0.8913999795913696
28,2.284651279449463,2.284651279449463,1.8966772556304932,1.1221339702606201,0.1379999965429306,0.1379999965429306,0.6126999855041504,0.8888999819755554
29,2.318589448928833,2.318589687347412,1.9170355796813965,1.133552074432373,0.12390000373125076,0.12389999628067017,0.6078000068664551,0.8838000297546387
30,2.3444697856903076,2.3444697856903076,1.9371726512908936,1.1450861692428589,0.1143999993801117,0.1143999919295311,0.5997999906539917,0.8816999793052673
31,2.3636491298675537,2.3636491298675537,1.9572997093200684,1.1599587202072144,0.10909999907016754,0.10909999907016754,0.5913000106811523,0.8761000037193298
32,2.377408742904663,2.377408981323242,1.9771790504455566,1.1764222383499146,0.10499999672174454,0.10499999672174454,0.5835999846458435,0.8710999488830566
33,2.387009382247925,2.387009382247925,1.9967588186264038,1.1946741342544556,0.10249999910593033,0.10249999910593033,0.5755000114440918,0.8666000366210938
34,2.3933355808258057,2.3933355808258057,2.015810251235962,1.214695692062378,0.10089999437332153,0.10089999437332153,0.5643999576568604,0.858299970626831
35,2.397372245788574,2.397372245788574,2.0344395637512207,1.237548828125,0.10049999505281448,0.10050000250339508,0.5532000064849854,0.8499999642372131
36,2.3997418880462646,2.3997418880462646,2.052654266357422,1.2639837265014648,0.10029999911785126,0.10029999911785126,0.5388000011444092,0.8400999903678894
37,2.4010114669799805,2.4010114669799805,2.0700910091400146,1.2922804355621338,0.10019999742507935,0.10019999742507935,0.5214999914169312,0.8327999711036682
38,2.401594638824463,2.401594638824463,2.0868921279907227,1.3198599815368652,0.09999999403953552,0.09999999403953552,0.5056999921798706,0.8234999775886536
39,2.4018006324768066,2.4018003940582275,2.1028943061828613,1.3566343784332275,0.09999999403953552,0.09999999403953552,0.486799955368042,0.8119999766349792
40,2.401820421218872,2.401820182800293,2.118100166320801,1.39432954788208,0.09999999403953552,0.09999999403953552,0.4697999954223633,0.7963999509811401
41,2.4017233848571777,2.401723623275757,2.13226580619812,1.4324909448623657,0.09999999403953552,0.09999999403953552,0.448199987411499,0.7817000150680542
42,2.4016637802124023,2.4016637802124023,2.1452527046203613,1.4749431610107422,0.10000000149011612,0.10000000149011612,0.4300999939441681,0.7645000219345093
43,2.401691436767578,2.401691436767578,2.157080888748169,1.514084815979004,0.10000000149011612,0.09999999403953552,0.40950000286102295,0.7501999735832214
44,2.401906967163086,2.401906967163086,2.167548179626465,1.560110092163086,0.09999999403953552,0.09999999403953552,0.39309999346733093,0.7327999472618103
45,2.40232253074646,2.40232253074646,2.176682949066162,1.5986331701278687,0.09999999403953552,0.09999999403953552,0.37949997186660767,0.7138999700546265
46,2.40293550491333,2.40293550491333,2.184232711791992,1.6365282535552979,0.09999999403953552,0.09999999403953552,0.3643999695777893,0.6919999718666077
47,2.40378737449646,2.403787136077881,2.190328598022461,1.6729393005371094,0.09999999403953552,0.09999999403953552,0.3506999611854553,0.6775000095367432
48,2.4048876762390137,2.4048876762390137,2.194824457168579,1.70055091381073,0.09999999403953552,0.09999999403953552,0.3433999717235565,0.6592999696731567
49,2.4061787128448486,2.4061784744262695,2.197739601135254,1.721747636795044,0.09999999403953552,0.09999999403953552,0.33739998936653137,0.6399999856948853
50,2.40785813331604,2.40785813331604,2.1990060806274414,1.724961757659912,0.09999999403953552,0.10000000149011612,0.3366999924182892,0.6353999376296997
51,2.409792900085449,2.409792900085449,2.1985957622528076,1.7225420475006104,0.10000000149011612,0.09999999403953552,0.33809998631477356,0.6348999738693237
52,2.412062644958496,2.412062644958496,2.1965909004211426,1.7113468647003174,0.09999999403953552,0.09999999403953552,0.34290000796318054,0.6430000066757202
53,2.4145760536193848,2.4145760536193848,2.193028450012207,1.6861085891723633,0.09999999403953552,0.09999999403953552,0.3531000018119812,0.6560999751091003
54,2.4172556400299072,2.4172558784484863,2.1878299713134766,1.6574375629425049,0.09999999403953552,0.09999999403953552,0.36399999260902405,0.6728999614715576
55,2.420090675354004,2.420090675354004,2.181117057800293,1.623655080795288,0.09999999403953552,0.09999999403953552,0.37849998474121094,0.692099928855896
56,2.423003673553467,2.423003673553467,2.172950267791748,1.5829963684082031,0.09999999403953552,0.09999999403953552,0.39489999413490295,0.709600031375885
57,2.4259984493255615,2.4259986877441406,2.1635308265686035,1.5400006771087646,0.09999999403953552,0.09999999403953552,0.4132999777793884,0.7329000234603882
58,2.4288852214813232,2.4288854598999023,2.1527280807495117,1.500299096107483,0.09999999403953552,0.10000000149011612,0.4333000183105469,0.7520999908447266
59,2.4316651821136475,2.4316651821136475,2.1408214569091797,1.4647403955459595,0.10000000149011612,0.09999999403953552,0.45179998874664307,0.767799973487854
60,2.4342713356018066,2.4342713356018066,2.1277894973754883,1.4204130172729492,0.09999999403953552,0.09999999403953552,0.471699982881546,0.7848999500274658
61,2.436370372772217,2.436370372772217,2.1139445304870605,1.3797345161437988,0.09999999403953552,0.09999999403953552,0.48989999294281006,0.8023999929428101
62,2.4379794597625732,2.4379794597625732,2.099356174468994,1.3449923992156982,0.09999999403953552,0.10000000149011612,0.5091999769210815,0.8127999305725098
63,2.438875436782837,2.438875436782837,2.0839900970458984,1.3122528791427612,0.09999999403953552,0.10000000149011612,0.5249999761581421,0.8234999775886536
64,2.4388160705566406,2.4388160705566406,2.068173408508301,1.2839559316635132,0.09999999403953552,0.10000000149011612,0.5421000123023987,0.8334000110626221
65,2.43760347366333,2.43760347366333,2.051818370819092,1.2557706832885742,0.09999999403953552,0.09999999403953552,0.5593000054359436,0.8416999578475952
66,2.4350955486297607,2.4350955486297607,2.0352652072906494,1.23232102394104,0.10009999573230743,0.10009999573230743,0.5702999830245972,0.8504999876022339
67,2.4311013221740723,2.4311013221740723,2.0182652473449707,1.2094773054122925,0.10039999336004257,0.10040000081062317,0.5814999938011169,0.856499969959259
68,2.4255409240722656,2.4255411624908447,2.001028299331665,1.1904382705688477,0.10079999268054962,0.10080000013113022,0.5887999534606934,0.8633999824523926
69,2.4183127880096436,2.4183127880096436,1.9835419654846191,1.1722345352172852,0.10189999639987946,0.10189999639987946,0.5972999930381775,0.8687999844551086
70,2.409341335296631,2.4093410968780518,1.9660313129425049,1.157752513885498,0.10349999368190765,0.10349999368190765,0.6062999963760376,0.8740999698638916
71,2.398914337158203,2.398914337158203,1.9481780529022217,1.143851637840271,0.10529999434947968,0.10529999434947968,0.6129000186920166,0.8794000148773193
72,2.3871312141418457,2.3871312141418457,1.9303922653198242,1.1307921409606934,0.10889999568462372,0.10889999568462372,0.6176999807357788,0.8847000002861023
73,2.3742973804473877,2.3742973804473877,1.912453532218933,1.1198430061340332,0.11389999836683273,0.11389999836683273,0.6182000041007996,0.8884999752044678
74,2.360691547393799,2.360691785812378,1.8948373794555664,1.109562635421753,0.11949999630451202,0.11949999630451202,0.6205999851226807,0.8926999568939209
75,2.3467774391174316,2.3467774391174316,1.8774505853652954,1.10329270362854,0.12719999253749847,0.12720000743865967,0.6208999752998352,0.8941999673843384
76,2.332955837249756,2.332956075668335,1.8608067035675049,1.09400475025177,0.13659998774528503,0.13659998774528503,0.6209999322891235,0.8964999914169312
77,2.3193140029907227,2.3193140029907227,1.844812273979187,1.087599754333496,0.14699998497962952,0.14699998497962952,0.6180000305175781,0.8977999687194824
78,2.3061821460723877,2.3061821460723877,1.8300179243087769,1.0806599855422974,0.15869998931884766,0.15869998931884766,0.6136000156402588,0.9000999927520752
79,2.29386830329895,2.29386830329895,1.816506266593933,1.0757216215133667,0.17159998416900635,0.17159999907016754,0.6090999841690063,0.9022999405860901
80,2.2825169563293457,2.2825169563293457,1.804776906967163,1.0708086490631104,0.18369999527931213,0.18369999527931213,0.6009999513626099,0.9036999940872192
81,2.272172689437866,2.272172689437866,1.7949196100234985,1.066002607345581,0.19709999859333038,0.19709999859333038,0.5914000272750854,0.9046000242233276
82,2.2630913257598877,2.2630910873413086,1.7873129844665527,1.0624632835388184,0.2078000009059906,0.2077999860048294,0.5817999839782715,0.9060999751091003
83,2.255251884460449,2.255251884460449,1.7818901538848877,1.0592844486236572,0.21660000085830688,0.21660000085830688,0.5728999972343445,0.9063000082969666
84,2.2485899925231934,2.2485899925231934,1.7788681983947754,1.056084156036377,0.22589999437332153,0.22589999437332153,0.5625,0.9070999622344971
85,2.2433199882507324,2.2433199882507324,1.7783230543136597,1.0538884401321411,0.23309999704360962,0.23309999704360962,0.5504999756813049,0.9065999984741211
86,2.2391469478607178,2.2391469478607178,1.7799196243286133,1.0513774156570435,0.23819997906684875,0.23819999396800995,0.5382999777793884,0.9071999788284302
87,2.2361559867858887,2.2361559867858887,1.7836596965789795,1.0489647388458252,0.24249999225139618,0.24250000715255737,0.5257999897003174,0.906999945640564
