step,loss_bn_a,loss_bn_b,loss_reset,loss_recalc,acc_bn_a,acc_bn_b,acc_reset,acc_recalc
1,1.0342557430267334,2.2204771041870117,1.9411242008209229,1.0329992771148682,0.934499979019165,0.17659999430179596,0.6593999862670898,0.9368000030517578
2,1.037645936012268,1.0376458168029785,1.9534822702407837,1.0335683822631836,0.9326000213623047,0.9326000213623047,0.6591999530792236,0.9366999864578247
3,1.0429970026016235,1.0429970026016235,1.965999960899353,1.0341540575027466,0.9292999505996704,0.9292999505996704,0.6588000059127808,0.9368000030517578
4,1.050489902496338,1.050489902496338,1.9786882400512695,1.0353600978851318,0.9247999787330627,0.9247999787330627,0.6589999794960022,0.9355999827384949
5,1.0603927373886108,1.0603928565979004,1.991437554359436,1.036201000213623,0.9217999577522278,0.9218000173568726,0.6567000150680542,0.9363999366760254
6,1.072904348373413,1.072904348373413,2.0041866302490234,1.037743330001831,0.9148999452590942,0.9148999452590942,0.6540999412536621,0.9361000061035156
7,1.088446021080017,1.0884461402893066,2.0169548988342285,1.0391414165496826,0.9068999886512756,0.9069000482559204,0.6517000198364258,0.9362000226974487
8,1.1074433326721191,1.1074433326721191,2.0296711921691895,1.0411274433135986,0.8974999785423279,0.8974999785423279,0.6480000019073486,0.9353999495506287
9,1.130116581916809,1.1301164627075195,2.0423364639282227,1.0434234142303467,0.8854999542236328,0.8854999542236328,0.6428999900817871,0.9343999624252319
10,1.1568739414215088,1.1568739414215088,2.0547993183135986,1.0457913875579834,0.872499942779541,0.872499942779541,0.6378999948501587,0.9342999458312988
11,1.187837839126587,1.187837839126587,2.067091464996338,1.047960638999939,0.8567999601364136,0.8567999601364136,0.6319000124931335,0.9328999519348145
12,1.2232985496520996,1.2232985496520996,2.079181671142578,1.0504822731018066,0.8383999466896057,0.8384000062942505,0.6260000467300415,0.9328999519348145
13,1.2633271217346191,1.2633271217346191,2.091038703918457,1.054197907447815,0.8147000074386597,0.8147000074386597,0.6193999648094177,0.9311000108718872
14,1.3078032732009888,1.3078032732009888,2.102598190307617,1.0578432083129883,0.7914999723434448,0.7914999723434448,0.6126999855041504,0.9314999580383301
15,1.3563542366027832,1.3563542366027832,2.1138687133789062,1.0618717670440674,0.7651999592781067,0.7652000188827515,0.6037999987602234,0.9307999610900879
16,1.4088119268417358,1.4088119268417358,2.124849796295166,1.0662082433700562,0.7357000112533569,0.7357000112533569,0.5957000255584717,0.9305999875068665
17,1.4644086360931396,1.4644086360931396,2.1354687213897705,1.071226954460144,0.7024999856948853,0.7024999856948853,0.5879999399185181,0.9282999634742737
18,1.5224827527999878,1.5224827527999878,2.1457059383392334,1.0766761302947998,0.6676999926567078,0.6676999926567078,0.5787999629974365,0.9282000064849854
19,1.582380771636963,1.582380771636963,2.1555540561676025,1.082540512084961,0.6345999836921692,0.6345999836921692,0.5690000057220459,0.9259999990463257
20,1.6431910991668701,1.6431910991668701,2.1650137901306152,1.0889877080917358,0.6025999784469604,0.6025999784469604,0.559999942779541,0.9253000020980835
21,1.70438814163208,1.7043880224227905,2.174072504043579,1.0967130661010742,0.572700023651123,0.572700023651123,0.5486999750137329,0.9236999750137329
22,1.7650668621063232,1.7650668621063232,2.1827030181884766,1.104795217514038,0.5415999889373779,0.5415999889373779,0.538100004196167,0.9217999577522278
23,1.8247078657150269,1.8247077465057373,2.1909730434417725,1.1133149862289429,0.5139000415802002,0.5138999819755554,0.527400016784668,0.920799970626831
24,1.8825366497039795,1.8825366497039795,2.198831796646118,1.1241005659103394,0.48889997601509094,0.48889997601509094,0.5149999856948853,0.9185999631881714
25,1.9377681016921997,1.9377679824829102,2.206275701522827,1.133156657218933,0.4632999897003174,0.4632999897003174,0.5045999884605408,0.9169999957084656
26,1.9901814460754395,1.9901814460754395,2.2133264541625977,1.1460574865341187,0.43689998984336853,0.43689996004104614,0.49149999022483826,0.9145999550819397
