step,loss_bn_a,loss_bn_b,loss_reset,loss_recalc,acc_bn_a,acc_bn_b,acc_reset,acc_recalc
1,1.0122885704040527,2.1500606536865234,2.225292682647705,1.0123701095581055,0.933899998664856,0.3797999918460846,0.6291999816894531,0.9328999519348145
2,1.0142416954040527,1.0142416954040527,2.2287163734436035,1.0130670070648193,0.9329999685287476,0.9329999685287476,0.6259999871253967,0.9325999617576599
3,1.0170738697052002,1.0170738697052002,2.232039451599121,1.0142611265182495,0.9330999851226807,0.9330999851226807,0.6244000196456909,0.9327999353408813
4,1.0208377838134766,1.0208377838134766,2.2352049350738525,1.0159752368927002,0.9319999814033508,0.9319999814033508,0.6218999624252319,0.9329999685287476
5,1.0256257057189941,1.0256255865097046,2.238262414932251,1.0178756713867188,0.9298000335693359,0.9297999739646912,0.6197999715805054,0.9321999549865723
6,1.0314967632293701,1.0314967632293701,2.2411885261535645,1.0202534198760986,0.9273999929428101,0.9273999929428101,0.616599977016449,0.9330999851226807
7,1.0386111736297607,1.0386111736297607,2.2439746856689453,1.022185206413269,0.925599992275238,0.9255999326705933,0.6133999824523926,0.933199942111969
8,1.0470635890960693,1.0470635890960693,2.2466609477996826,1.0256258249282837,0.9228999614715576,0.9228999614715576,0.6107000112533569,0.9323999881744385
9,1.0569775104522705,1.0569775104522705,2.2492196559906006,1.0288007259368896,0.9210000038146973,0.9210000038146973,0.6057000160217285,0.9329000115394592
10,1.0684559345245361,1.0684559345245361,2.251677989959717,1.0322730541229248,0.9172999858856201,0.9172999858856201,0.6018999814987183,0.9327999353408813
11,1.0816895961761475,1.0816895961761475,2.2540245056152344,1.03596830368042,0.915399968624115,0.915399968624115,0.5968999862670898,0.9314999580383301
12,1.0967596769332886,1.0967596769332886,2.2562613487243652,1.041175127029419,0.9111999869346619,0.9111999273300171,0.5924999713897705,0.9309999942779541
13,1.1137092113494873,1.1137092113494873,2.258399486541748,1.0452574491500854,0.9063000082969666,0.9062999486923218,0.5877000093460083,0.9309999942779541
14,1.1327613592147827,1.1327613592147827,2.260453701019287,1.051269769668579,0.9013999700546265,0.9014000296592712,0.5831999778747559,0.9301999807357788
15,1.1539337635040283,1.1539337635040283,2.262392282485962,1.0562782287597656,0.8924000263214111,0.8923999667167664,0.5782999992370605,0.9296999573707581
16,1.1771658658981323,1.1771658658981323,2.264237403869629,1.0629937648773193,0.8835999369621277,0.8835999965667725,0.5722999572753906,0.9294999837875366
17,1.2025755643844604,1.202575445175171,2.26601243019104,1.0692286491394043,0.8755999803543091,0.8755999803543091,0.5684999823570251,0.9282000064849854
18,1.2300798892974854,1.2300797700881958,2.2676913738250732,1.0773667097091675,0.8664000034332275,0.8663999438285828,0.5635999441146851,0.9282999634742737
19,1.2595869302749634,1.2595868110656738,2.269292116165161,1.0844626426696777,0.8579000234603882,0.8579000234603882,0.5570999979972839,0.9274999499320984
20,1.2910552024841309,1.2910552024841309,2.270801067352295,1.093892216682434,0.847100019454956,0.847100019454956,0.551099956035614,0.9264999628067017
21,1.3242888450622559,1.3242888450622559,2.272246837615967,1.103678822517395,0.8356999754905701,0.8356999754905701,0.5442999601364136,0.9248999953269958
22,1.3590713739395142,1.3590713739395142,2.2736332416534424,1.11319100856781,0.8228999972343445,0.8228999376296997,0.5374000072479248,0.9253000020980835
23,1.3952198028564453,1.3952198028564453,2.274944543838501,1.1242856979370117,0.8097000122070312,0.8097000122070312,0.5307999849319458,0.9243999719619751
24,1.4325109720230103,1.4325110912322998,2.276157855987549,1.1352653503417969,0.7937999963760376,0.7937999963760376,0.5233999490737915,0.923799991607666
25,1.4706549644470215,1.4706549644470215,2.277336597442627,1.1460838317871094,0.7768999934196472,0.7768999934196472,0.51419997215271,0.9226000308990479
26,1.5094281435012817,1.5094281435012817,2.2784416675567627,1.1602251529693604,0.7595999836921692,0.7595999836921692,0.5058000087738037,0.9213999509811401
27,1.5484027862548828,1.5484027862548828,2.2794933319091797,1.173002004623413,0.743399977684021,0.743399977684021,0.49790000915527344,0.9205000400543213
28,1.5874419212341309,1.5874419212341309,2.2804830074310303,1.1879396438598633,0.7267999649047852,0.7267999649047852,0.4879000186920166,0.9195999503135681
29,1.6262140274047852,1.6262140274047852,2.2814157009124756,1.2010706663131714,0.7087999582290649,0.7087999582290649,0.4787999987602234,0.9175999164581299
30,1.664395809173584,1.664395809173584,2.2822933197021484,1.2187981605529785,0.6884000301361084,0.6884000301361084,0.46869999170303345,0.9161999821662903
31,1.7018585205078125,1.7018585205078125,2.2831192016601562,1.2341362237930298,0.6678999662399292,0.6678999662399292,0.4602999687194824,0.9154999852180481
32,1.7382652759552002,1.7382652759552002,2.283900499343872,1.2526787519454956,0.6488999724388123,0.6488999724388123,0.4514999985694885,0.9113999605178833
33,1.7733378410339355,1.7733378410339355,2.2846226692199707,1.2705578804016113,0.6308000087738037,0.6308000087738037,0.44439998269081116,0.9096999168395996
34,1.807091236114502,1.807091236114502,2.2853121757507324,1.289795160293579,0.6096999645233154,0.6096999645233154,0.4366999864578247,0.9080999493598938
35,1.8393760919570923,1.8393760919570923,2.285949230194092,1.3086278438568115,0.5896999835968018,0.5896999835968018,0.42799997329711914,0.9052000045776367
36,1.8698863983154297,1.8698863983154297,2.286530017852783,1.326625943183899,0.5716999769210815,0.5716999769210815,0.4203000068664551,0.9027999639511108
37,1.8986878395080566,1.8986878395080566,2.287083625793457,1.3464062213897705,0.5541999936103821,0.5541999936103821,0.41119998693466187,0.8996999859809875
38,1.9256303310394287,1.9256303310394287,2.2875771522521973,1.3697847127914429,0.536899983882904,0.536899983882904,0.40459999442100525,0.896399974822998
39,1.9507715702056885,1.9507715702056885,2.2880218029022217,1.3898319005966187,0.5209000110626221,0.5209000110626221,0.39980000257492065,0.8942999839782715
40,1.9740530252456665,1.974053144454956,2.288435935974121,1.407990574836731,0.5029000043869019,0.5029000043869019,0.39249998331069946,0.8914999961853027
41,1.995499849319458,1.995499849319458,2.2888240814208984,1.427441120147705,0.4886999726295471,0.4886999726295471,0.3855999708175659,0.8883999586105347
42,2.0150744915008545,2.0150747299194336,2.2891550064086914,1.4466612339019775,0.4772999882698059,0.4772999882698059,0.37929999828338623,0.8857999444007874
43,2.0329713821411133,2.032971143722534,2.2894413471221924,1.4635611772537231,0.46560001373291016,0.46560001373291016,0.3755999803543091,0.8826999664306641
44,2.0492093563079834,2.0492093563079834,2.289694309234619,1.4821500778198242,0.4555000066757202,0.4555000066757202,0.3718000054359436,0.8787000179290771
45,2.063721179962158,2.063720941543579,2.2899115085601807,1.4947905540466309,0.4447000026702881,0.4446999728679657,0.36739999055862427,0.8760999441146851
46,2.076690673828125,2.076690673828125,2.2900853157043457,1.5050878524780273,0.4382999837398529,0.4383000135421753,0.36390000581741333,0.8734999895095825
47,2.088188648223877,2.088188648223877,2.290221691131592,1.5174407958984375,0.4339999854564667,0.43400001525878906,0.3609999716281891,0.8704999685287476
48,2.098310708999634,2.098310708999634,2.290316581726074,1.5249406099319458,0.43039998412132263,0.43039998412132263,0.357699990272522,0.8673999309539795
49,2.107060432434082,2.107060432434082,2.290377140045166,1.5299694538116455,0.4277999997138977,0.4277999997138977,0.3555999994277954,0.8684999942779541
50,2.1146085262298584,2.1146087646484375,2.290403366088867,1.532193899154663,0.42659997940063477,0.42659997940063477,0.35409998893737793,0.8667999505996704
51,2.1211743354797363,2.1211743354797363,2.290391206741333,1.5291250944137573,0.4262000024318695,0.4261999726295471,0.35249999165534973,0.8680999279022217
52,2.126505136489868,2.126504898071289,2.2903337478637695,1.5290632247924805,0.42980000376701355,0.42979997396469116,0.3515999913215637,0.8671000003814697
53,2.1308043003082275,2.1308043003082275,2.290235996246338,1.5200424194335938,0.4327999949455261,0.4327999949455261,0.35109996795654297,0.8696999549865723
54,2.1342363357543945,2.1342363357543945,2.2901132106781006,1.5084128379821777,0.43619996309280396,0.43619996309280396,0.35029998421669006,0.8729999661445618
55,2.1368141174316406,2.1368141174316406,2.2899441719055176,1.49948251247406,0.44120001792907715,0.4411999583244324,0.35040000081062317,0.8729999661445618
56,2.1386306285858154,2.1386303901672363,2.289729118347168,1.4839468002319336,0.44909998774528503,0.44909998774528503,0.35249999165534973,0.8767999410629272
57,2.1397571563720703,2.1397573947906494,2.2894768714904785,1.4689618349075317,0.4567999839782715,0.4567999839782715,0.3539999723434448,0.8813999891281128
58,2.1402835845947266,2.1402835845947266,2.289196014404297,1.4522714614868164,0.4652999937534332,0.4652999937534332,0.3554999828338623,0.8840000033378601
59,2.1401991844177246,2.1401991844177246,2.2888681888580322,1.43352210521698,0.471699982881546,0.471699982881546,0.35839998722076416,0.887999951839447
60,2.1396045684814453,2.1396045684814453,2.2885003089904785,1.4126602411270142,0.4763999879360199,0.4763999879360199,0.3603000044822693,0.890999972820282
61,2.138589859008789,2.138589859008789,2.288095474243164,1.3929930925369263,0.4818999767303467,0.4818999767303467,0.36299997568130493,0.8953999876976013
62,2.1371355056762695,2.1371355056762695,2.2876546382904053,1.3738982677459717,0.4829999804496765,0.4829999804496765,0.36640000343322754,0.8962999582290649
63,2.135284423828125,2.135284185409546,2.2871363162994385,1.3528504371643066,0.482699990272522,0.482699990272522,0.3693999946117401,0.8996999263763428
