,a-b-rebasin,a-b-orig,b-orig-b-rebasin
0,1.020709753036499,1.020709753036499,1.0192549228668213
1,1.0212206840515137,1.0206561088562012,1.0195395946502686
2,1.0218126773834229,1.0217688083648682,1.0191433429718018
3,1.0228723287582397,1.0233826637268066,1.0194624662399292
4,1.0241436958312988,1.0243189334869385,1.0197415351867676
5,1.0261197090148926,1.0265614986419678,1.0203461647033691
6,1.027853012084961,1.028806447982788,1.0203330516815186
7,1.0301754474639893,1.0312633514404297,1.0207781791687012
8,1.0325555801391602,1.033463954925537,1.0210285186767578
9,1.0362327098846436,1.0362935066223145,1.0224404335021973
10,1.0386260747909546,1.0403776168823242,1.0237218141555786
11,1.0421136617660522,1.0438854694366455,1.0237576961517334
12,1.0459113121032715,1.0486725568771362,1.0243288278579712
13,1.0502707958221436,1.052677869796753,1.0259923934936523
14,1.054671049118042,1.0580297708511353,1.0268515348434448
15,1.059769630432129,1.0639517307281494,1.0285303592681885
16,1.0646677017211914,1.0702252388000488,1.0302374362945557
17,1.0708273649215698,1.0776145458221436,1.0316030979156494
18,1.0772626399993896,1.0849940776824951,1.0343046188354492
19,1.0838254690170288,1.093833327293396,1.0366036891937256
20,1.0903875827789307,1.102405071258545,1.0395705699920654
21,1.0985591411590576,1.1124627590179443,1.0429534912109375
22,1.1066012382507324,1.1237061023712158,1.0459650754928589
23,1.1160575151443481,1.1342461109161377,1.0502293109893799
24,1.1252542734146118,1.1473383903503418,1.0541232824325562
25,1.1354340314865112,1.1639354228973389,1.0610605478286743
26,1.1447293758392334,1.1787269115447998,1.0667823553085327
27,1.15635085105896,1.1960684061050415,1.0740514993667603
28,1.1677696704864502,1.2192988395690918,1.083464503288269
29,1.1801329851150513,1.238255262374878,1.0919215679168701
30,1.1938588619232178,1.2638099193572998,1.1044096946716309
31,1.2038710117340088,1.299870491027832,1.1191669702529907
32,1.2181156873703003,1.324712872505188,1.1388322114944458
33,1.2321064472198486,1.3637785911560059,1.1531901359558105
34,1.2484090328216553,1.3987176418304443,1.1738502979278564
35,1.2632596492767334,1.4356577396392822,1.1972954273223877
36,1.2782901525497437,1.4795273542404175,1.2278521060943604
37,1.294736623764038,1.521440029144287,1.2577852010726929
38,1.310235857963562,1.5729725360870361,1.297167181968689
39,1.3219306468963623,1.6142387390136719,1.3275091648101807
40,1.3376260995864868,1.6601576805114746,1.362941026687622
41,1.3527376651763916,1.7236415147781372,1.4055707454681396
42,1.3656139373779297,1.7711896896362305,1.446908712387085
43,1.37778639793396,1.8265352249145508,1.4906530380249023
44,1.3898165225982666,1.8703346252441406,1.5231730937957764
45,1.405861496925354,1.9346072673797607,1.569968819618225
46,1.4051666259765625,1.9673562049865723,1.603895902633667
47,1.413306474685669,2.0161266326904297,1.6261335611343384
48,1.4224278926849365,2.052788734436035,1.6469875574111938
49,1.4228570461273193,2.076061964035034,1.6604381799697876
50,1.4244600534439087,2.0899300575256348,1.6604031324386597
51,1.4361701011657715,2.092254877090454,1.6694786548614502
52,1.4249649047851562,2.0923008918762207,1.649726152420044
53,1.426095724105835,2.0700860023498535,1.6310309171676636
54,1.4258475303649902,2.047802448272705,1.6161842346191406
55,1.4243197441101074,2.013355255126953,1.5853631496429443
56,1.416677474975586,1.9801506996154785,1.5464696884155273
57,1.4009617567062378,1.917738676071167,1.5071682929992676
58,1.3915493488311768,1.879920482635498,1.4749313592910767
59,1.3787593841552734,1.8304327726364136,1.4249787330627441
60,1.3700683116912842,1.7651944160461426,1.3944141864776611
61,1.3532909154891968,1.7072384357452393,1.3483848571777344
62,1.3391296863555908,1.6650117635726929,1.3127639293670654
63,1.3245699405670166,1.6020680665969849,1.2852635383605957
64,1.3091654777526855,1.5569075345993042,1.2512069940567017
65,1.292823314666748,1.5190640687942505,1.219172477722168
66,1.2775449752807617,1.467192530632019,1.1992563009262085
67,1.2574422359466553,1.4353785514831543,1.1700249910354614
68,1.2453234195709229,1.3798420429229736,1.150936484336853
69,1.2308967113494873,1.3416199684143066,1.1325410604476929
70,1.2146694660186768,1.3099819421768188,1.117774248123169
71,1.2027056217193604,1.2770228385925293,1.1059951782226562
72,1.187706470489502,1.251477837562561,1.093379020690918
73,1.174952745437622,1.2292377948760986,1.083787441253662
74,1.163570761680603,1.2075707912445068,1.0758130550384521
75,1.151797890663147,1.1871587038040161,1.0681724548339844
76,1.1394779682159424,1.1713972091674805,1.0612695217132568
77,1.1305617094039917,1.1552517414093018,1.055333137512207
78,1.1198697090148926,1.1408939361572266,1.0507148504257202
79,1.110663652420044,1.1273550987243652,1.046180009841919
80,1.1012097597122192,1.115814447402954,1.0426748991012573
81,1.0934274196624756,1.1067754030227661,1.0395011901855469
82,1.0870261192321777,1.097076654434204,1.036887526512146
83,1.07991623878479,1.0879119634628296,1.0340863466262817
84,1.0734200477600098,1.0796079635620117,1.0320208072662354
85,1.0666210651397705,1.0722682476043701,1.0308680534362793
86,1.0617499351501465,1.0650653839111328,1.0284175872802734
87,1.0559409856796265,1.0599169731140137,1.027850866317749
88,1.0507192611694336,1.053772211074829,1.0260745286941528
89,1.046872615814209,1.0495288372039795,1.024919033050537
90,1.0424833297729492,1.044419527053833,1.0241096019744873
91,1.0385538339614868,1.0400059223175049,1.023459553718567
92,1.035292148590088,1.0369071960449219,1.0230646133422852
93,1.0323469638824463,1.0331754684448242,1.0221012830734253
94,1.0304815769195557,1.0308737754821777,1.0214059352874756
95,1.0274107456207275,1.0279390811920166,1.0209596157073975
96,1.02511465549469,1.0259051322937012,1.0201760530471802
97,1.0235010385513306,1.0240066051483154,1.0191277265548706
98,1.021984338760376,1.0223870277404785,1.0205456018447876
99,1.0213974714279175,1.0207844972610474,1.0192358493804932
100,1.0191107988357544,1.0192549228668213,1.0191107988357544
