Model 0: Loss: 1.0208373069763184, Acc: 0.9178999662399292
Model 1: Loss: 1.0178428888320923, Acc: 0.9223999977111816
Model 2: Loss: 1.0200103521347046, Acc: 0.9204000234603882
Model 3: Loss: 1.0231602191925049, Acc: 0.9194999933242798
Model 4: Loss: 1.0202217102050781, Acc: 0.9175000190734863
Model 5: Loss: 1.0202534198760986, Acc: 0.9193999767303467
Model 6: Loss: 1.0197296142578125, Acc: 0.9223999977111816
Model 7: Loss: 1.0184228420257568, Acc: 0.9194999933242798
Model 8: Loss: 1.019690990447998, Acc: 0.9217000007629395
Merged Model: Loss: 2.286674976348877, Acc: 0.2702000141143799
