Model 0: Loss: 1.0141092538833618, Acc: 0.9234999418258667
Model 1: Loss: 1.01712965965271, Acc: 0.9198999404907227
Model 2: Loss: 1.0211297273635864, Acc: 0.9193999767303467
Model 3: Loss: 1.017797589302063, Acc: 0.9189000129699707
Model 4: Loss: 1.0207825899124146, Acc: 0.9200999736785889
Model 5: Loss: 1.0197868347167969, Acc: 0.9199999570846558
Model 6: Loss: 1.02401864528656, Acc: 0.9178000092506409
Model 7: Loss: 1.0195140838623047, Acc: 0.9196000099182129
Model 8: Loss: 1.0190715789794922, Acc: 0.9217999577522278
Model 9: Loss: 1.0191596746444702, Acc: 0.9192999601364136
Model 10: Loss: 1.0215809345245361, Acc: 0.9185999631881714
Model 11: Loss: 1.019155740737915, Acc: 0.9225000143051147
Merged Model: Loss: 2.2940480709075928, Acc: 0.21319998800754547
