Model 0: Loss: 1.284034013748169, Acc: 0.7997000217437744
Model 1: Loss: 1.29048490524292, Acc: 0.79749995470047
Model 2: Loss: 1.2764230966567993, Acc: 0.8013999462127686

Average Model: Loss: 1.2836473385492961, Acc: 0.7995333075523376
Merged Model: Loss: 1.2615432739257812, Acc: 0.8055999875068665

Control Model (1): Loss: 1.27421236038208, Acc: 0.8065999746322632
Control Model (2): Loss: 1.2311302423477173, Acc: 0.8285999894142151
Control Model (3): Loss: 1.2225093841552734, Acc: 0.8258000016212463
Control Model (4): Loss: 1.2153767347335815, Acc: 0.833899974822998
