Model 0: Loss: 1.3927291631698608, Acc: 0.7355999946594238
Model 1: Loss: 1.4381779432296753, Acc: 0.7172999978065491
Model 2: Loss: 1.3621916770935059, Acc: 0.7554000020027161
Model 3: Loss: 1.4184061288833618, Acc: 0.717799961566925
Model 4: Loss: 1.4851901531219482, Acc: 0.6801999807357788
Model 5: Loss: 1.4426082372665405, Acc: 0.7049000263214111
Model 6: Loss: 1.4317489862442017, Acc: 0.7101999521255493
Model 7: Loss: 1.4407579898834229, Acc: 0.7095999717712402
Model 8: Loss: 1.388828992843628, Acc: 0.7429999709129333

Average Model: Loss: 1.4222932524151273, Acc: 0.7193333175447252
Merged Model: Loss: 1.3334133625030518, Acc: 0.773099958896637

Control Model (1): Loss: 1.4343277215957642, Acc: 0.7113000154495239
Control Model (2): Loss: 1.3641953468322754, Acc: 0.7615000009536743
Control Model (3): Loss: 1.3791674375534058, Acc: 0.7460999488830566
Control Model (4): Loss: 1.6144797801971436, Acc: 0.6259999871253967
Control Model (5): Loss: 1.5073456764221191, Acc: 0.7070000171661377
Control Model (6): Loss: 1.7652652263641357, Acc: 0.5357999801635742
Control Model (7): Loss: 1.9001282453536987, Acc: 0.4828000068664551
Control Model (8): Loss: 1.3557438850402832, Acc: 0.7558000087738037
Control Model (9): Loss: 1.9717636108398438, Acc: 0.42729997634887695
Control Model (10): Loss: 1.735914945602417, Acc: 0.5432999730110168
