,a-b-orig,a-b-rebasin,b-orig-b-rebasin
0,0.7673,0.7673,0.8904
1,0.7696,0.7668,0.8911
2,0.7723,0.7667,0.8922
3,0.7736,0.7667,0.8921
4,0.7763,0.7672,0.8916
5,0.7811,0.7666,0.8913
6,0.7855,0.7679,0.8911
7,0.7888,0.7683,0.8904
8,0.792,0.7668,0.8893
9,0.7938,0.7672,0.8871
10,0.7945,0.7647,0.8851
11,0.794,0.7629,0.8823
12,0.7921,0.7602,0.8784
13,0.7907,0.757,0.8742
14,0.7877,0.7495,0.8697
15,0.7823,0.7432,0.8635
16,0.7752,0.7365,0.856
17,0.7694,0.727,0.8461
18,0.7624,0.7154,0.8308
19,0.756,0.7015,0.8139
20,0.7475,0.6865,0.7918
21,0.7345,0.6742,0.7666
22,0.7212,0.6633,0.7414
23,0.7063,0.6508,0.7116
24,0.6882,0.64,0.6798
25,0.6676,0.6317,0.6425
26,0.6455,0.6233,0.6045
27,0.6198,0.6155,0.5615
28,0.5905,0.6066,0.5198
29,0.5576,0.5969,0.4853
30,0.5271,0.5784,0.4455
31,0.4973,0.5544,0.4118
32,0.4691,0.525,0.3795
33,0.4399,0.496,0.352
34,0.4074,0.4698,0.3275
35,0.3743,0.4486,0.3074
36,0.3378,0.4308,0.2899
37,0.3039,0.4205,0.2763
38,0.2783,0.4109,0.2683
39,0.2596,0.403,0.2654
40,0.2432,0.3948,0.2634
41,0.2316,0.3913,0.2629
42,0.219,0.3861,0.2638
43,0.2075,0.3844,0.2645
44,0.195,0.3799,0.2678
45,0.1824,0.378,0.2733
46,0.1702,0.3771,0.2808
47,0.1631,0.3786,0.288
48,0.1564,0.3769,0.2952
49,0.1516,0.3773,0.3022
50,0.1457,0.3807,0.3085
51,0.1415,0.3834,0.3141
52,0.1396,0.391,0.3209
53,0.1394,0.3984,0.3303
54,0.1425,0.4054,0.3388
55,0.1475,0.4171,0.3467
56,0.1618,0.4265,0.3547
57,0.1733,0.4354,0.3583
58,0.1875,0.4433,0.3652
59,0.2043,0.4529,0.3711
60,0.228,0.4597,0.3775
61,0.2589,0.4666,0.382
62,0.2899,0.4771,0.385
63,0.3166,0.4895,0.3896
64,0.3428,0.5026,0.3951
65,0.3674,0.5206,0.4033
66,0.3928,0.5397,0.4151
67,0.4165,0.5608,0.4309
68,0.4476,0.5781,0.4487
69,0.4804,0.5944,0.4701
70,0.5132,0.6079,0.4908
71,0.5454,0.6207,0.5129
72,0.5744,0.6337,0.5377
73,0.6008,0.6454,0.5622
74,0.6205,0.6573,0.5839
75,0.6373,0.6682,0.606
76,0.6514,0.6822,0.6257
77,0.6668,0.6971,0.6485
78,0.68,0.7118,0.6709
79,0.6948,0.7264,0.6958
80,0.7108,0.7421,0.7152
81,0.729,0.7568,0.7339
82,0.7447,0.7685,0.7499
83,0.7647,0.7819,0.7655
84,0.7817,0.7944,0.779
85,0.7975,0.8045,0.7941
86,0.8123,0.8155,0.8098
87,0.8252,0.8242,0.8249
88,0.836,0.8325,0.8383
89,0.8453,0.8409,0.8507
90,0.8543,0.8485,0.858
91,0.8607,0.8536,0.865
92,0.8651,0.8596,0.8697
93,0.8695,0.8649,0.8739
94,0.873,0.8687,0.8767
95,0.8769,0.8729,0.8792
96,0.8802,0.8763,0.8824
97,0.8832,0.8804,0.8846
98,0.8858,0.8825,0.8863
99,0.8879,0.886,0.8881
100,0.8904,0.8904,0.8904
