,a-b-orig,a-b-rebasin,b-orig-b-rebasin
0,0.9058,0.9058,0.9248
1,0.9058,0.9061,0.9249
2,0.906,0.9066,0.9249
3,0.9061,0.9076,0.9254
4,0.9061,0.9082,0.9256
5,0.9062,0.9093,0.926
6,0.9059,0.9097,0.9261
7,0.9059,0.9107,0.9264
8,0.906,0.9116,0.9267
9,0.9062,0.9123,0.9266
10,0.9061,0.9129,0.9266
11,0.9063,0.9141,0.9266
12,0.9066,0.9146,0.9269
13,0.9067,0.9152,0.9272
14,0.9069,0.9164,0.9269
15,0.9067,0.9169,0.9264
16,0.9069,0.9168,0.9266
17,0.9071,0.9174,0.9265
18,0.9073,0.9184,0.9268
19,0.9076,0.9188,0.9268
20,0.9072,0.9192,0.9266
21,0.9072,0.9202,0.9262
22,0.9073,0.9209,0.9264
23,0.9074,0.9215,0.9265
24,0.9073,0.9223,0.9263
25,0.9072,0.9231,0.9266
26,0.9075,0.9236,0.9269
27,0.9073,0.9247,0.9268
28,0.9076,0.9251,0.9269
29,0.9075,0.9256,0.9268
30,0.9081,0.9265,0.9267
31,0.9084,0.9269,0.9268
32,0.909,0.9271,0.9271
33,0.9092,0.9277,0.9273
34,0.9088,0.9283,0.9273
35,0.9088,0.9291,0.927
36,0.9091,0.9297,0.9269
37,0.9092,0.9303,0.9268
38,0.9095,0.9302,0.9265
39,0.9103,0.9305,0.9264
40,0.9115,0.931,0.9266
41,0.9136,0.9311,0.9263
42,0.9157,0.9317,0.9256
43,0.9178,0.9316,0.9246
44,0.9205,0.9321,0.9243
45,0.9231,0.9325,0.9237
46,0.9266,0.9327,0.9232
47,0.9298,0.9324,0.9225
48,0.9332,0.9328,0.9217
49,0.9358,0.9327,0.9212
50,0.9387,0.9327,0.92
51,0.9397,0.9324,0.9196
52,0.9396,0.9321,0.9194
53,0.9388,0.9325,0.9191
54,0.9378,0.9323,0.9188
55,0.9361,0.9323,0.9196
56,0.9351,0.9322,0.92
57,0.9345,0.9325,0.9213
58,0.9329,0.9321,0.9215
59,0.9314,0.9323,0.9221
60,0.9301,0.9325,0.9221
61,0.9295,0.9328,0.9226
62,0.9291,0.9327,0.9231
63,0.9279,0.9325,0.9234
64,0.9276,0.9326,0.9238
65,0.9274,0.9324,0.9244
66,0.9271,0.9321,0.9246
67,0.9273,0.9316,0.9248
68,0.9271,0.9309,0.925
69,0.9269,0.9306,0.9249
70,0.9266,0.9303,0.9248
71,0.9266,0.9305,0.9251
72,0.9264,0.9309,0.9252
73,0.9262,0.9307,0.9252
74,0.9262,0.9305,0.9254
75,0.9261,0.9307,0.9252
76,0.9262,0.9306,0.9254
77,0.926,0.9304,0.9256
78,0.926,0.9303,0.9257
79,0.926,0.9301,0.9256
80,0.9261,0.9296,0.9258
81,0.9262,0.9294,0.9258
82,0.9263,0.9302,0.9257
83,0.9263,0.9298,0.9256
84,0.9262,0.9292,0.9256
85,0.926,0.929,0.9255
86,0.9263,0.9279,0.9255
87,0.9264,0.9282,0.9255
88,0.9264,0.928,0.9253
89,0.9266,0.9281,0.9254
90,0.9263,0.928,0.9253
91,0.926,0.9278,0.9253
92,0.9261,0.9276,0.9254
93,0.926,0.9274,0.9253
94,0.926,0.9267,0.9252
95,0.9258,0.9267,0.925
96,0.9257,0.9258,0.9247
97,0.9253,0.9255,0.9247
98,0.9255,0.9257,0.9249
99,0.9253,0.9251,0.9249
100,0.9248,0.9248,0.9248
