,a-b-orig,a-b-rebasin,b-orig-b-rebasin
0,2.2247325917021534,2.2247325917021534,2.217486890360189
1,2.225463552596851,2.225100706179683,2.218271674439549
2,2.226221243794353,2.2254965648102685,2.2190978549920715
3,2.227005505333312,2.225921176112117,2.2199684248183864
4,2.2278175407324357,2.226375268290218,2.220884406909394
5,2.228657931184616,2.2268578930023,2.221845249779308
6,2.2295259081136685,2.2273690098771652,2.2228514675896007
7,2.2304219270285706,2.227909844523421,2.223903227157105
8,2.2313456619128633,2.22848043350366,2.2250006374078817
9,2.2322970000318825,2.2290828281317276,2.226146299618121
10,2.233276982657826,2.229718041496155,2.227339914431587
11,2.2342844999636324,2.2303858161353456,2.2285813767308245
12,2.2353189897994263,2.2310854748795967,2.229872545876061
13,2.236381954278428,2.231815639014442,2.231215825096106
14,2.237474693657872,2.232576432700355,2.232612125408916
15,2.2385961034427435,2.2333676540813507,2.23406482961612
16,2.239745797440648,2.2341868945965753,2.235576171844531
17,2.2409248862403652,2.2350322857451514,2.2371475270000127
18,2.2421346883804274,2.235900968027572,2.238781967863869
19,2.2433761430624575,2.2367952029925946,2.240480930279619
20,2.244648368213885,2.2377084093733717,2.2422401044315423
21,2.2459496240646315,2.2386382014606707,2.244059038619264
22,2.247278974459956,2.23958382667444,2.245932808318458
23,2.2486386817103377,2.2405449993694173,2.2478521296772334
24,2.2500248854152693,2.241520935735002,2.249798045752528
25,2.251429464108647,2.2425111848325394,2.2517555582637603
26,2.2528550716253894,2.2435149339060434,2.253712005889454
27,2.2543044014098927,2.244529481893911,2.2556582380788397
28,2.2557835076182795,2.245553548343646,2.257575725214169
29,2.2572894012585234,2.2465815780261833,2.2594556244798363
30,2.2588211019960838,2.2476106748794216,2.2612839483986265
31,2.2603721519628652,2.248634171562073,2.2630545841619227
32,2.261943454559619,2.249649351016401,2.2647478885163133
33,2.263530610849301,2.2506539981586102,2.266364502830627
34,2.265129345293624,2.2516397668149906,2.267899424123307
35,2.26673243601863,2.2525961033452435,2.269353796498844
36,2.268336102604485,2.253525845920697,2.270724372741894
37,2.269925414563749,2.2544325708200375,2.272008297161553
38,2.2714861696139694,2.255313575458222,2.273212818292002
39,2.273013674032193,2.2561662935982114,2.274335172610542
40,2.2744913466822223,2.256986531967553,2.275377962155083
41,2.2759123092261366,2.257771696907263,2.276333503448925
42,2.277270291179133,2.258523886957869,2.27720123281875
43,2.278545752120094,2.2592417180728606,2.2779786259221573
44,2.279701462188087,2.2599223200886396,2.2786660186779764
45,2.280721915034821,2.2605611127786363,2.2792593374039036
46,2.2815834638028862,2.2611478624252466,2.279750773701043
47,2.28228691210762,2.2616853462621425,2.28014107329396
48,2.2828243548115985,2.262170764965752,2.280433258690392
49,2.2831976931696882,2.2626042602161247,2.2806309031221432
50,2.2834103983431198,2.2629745402656045,2.2807297927503005
51,2.2834802450844274,2.263273795191853,2.280730698436213
52,2.2834363257923065,2.263495348512936,2.280637332806572
53,2.2832995596023413,2.2636297137592547,2.2804434444195927
54,2.283084680478032,2.2636711125175792,2.2801483340156725
55,2.2827970920660245,2.263617484333416,2.2797572765106593
56,2.2824461086870382,2.2634666758223463,2.2792755140664096
57,2.2820364476773687,2.263222376759441,2.278704591452504
58,2.281577832401751,2.262877433063885,2.278044270250363
59,2.2810597853919568,2.2624378577588846,2.2772921563718267
60,2.280486333865327,2.2619007982004184,2.2764484097782414
