,a-b-orig,a-b-rebasin,b-orig-b-rebasin
0,0.9225,0.9225,0.9303
1,0.9226,0.9233,0.9303
2,0.9227,0.9239,0.9302
3,0.9226,0.9241,0.9301
4,0.9226,0.9246,0.9297
5,0.9227,0.9255,0.9296
6,0.9223,0.9265,0.9294
7,0.922,0.9269,0.9294
8,0.9219,0.9271,0.9298
9,0.9214,0.9274,0.9299
10,0.9214,0.9279,0.9299
11,0.9209,0.9291,0.9299
12,0.9211,0.9294,0.9299
13,0.9209,0.9304,0.9295
14,0.9212,0.9313,0.9295
15,0.9212,0.9313,0.9297
16,0.9212,0.932,0.9292
17,0.9209,0.9324,0.9289
18,0.9199,0.9333,0.9286
19,0.9198,0.9342,0.9286
20,0.9197,0.9347,0.9285
21,0.9193,0.935,0.9283
22,0.9193,0.9352,0.9282
23,0.9188,0.9357,0.9283
24,0.9183,0.9361,0.9281
25,0.9183,0.9363,0.9278
26,0.9183,0.9367,0.9274
27,0.9175,0.937,0.9271
28,0.9176,0.9373,0.9273
29,0.9171,0.9373,0.9269
30,0.917,0.9379,0.9267
31,0.9169,0.9377,0.9262
32,0.9171,0.938,0.9262
33,0.9166,0.9379,0.9259
34,0.9164,0.9385,0.9258
35,0.9167,0.9384,0.9259
36,0.9163,0.9384,0.9256
37,0.9166,0.9388,0.9247
38,0.9164,0.9391,0.9243
39,0.9171,0.9397,0.9242
40,0.9177,0.9398,0.9239
41,0.9186,0.9398,0.9238
42,0.9194,0.9403,0.9239
43,0.921,0.9403,0.9238
44,0.9219,0.9407,0.923
45,0.924,0.9409,0.9227
46,0.9261,0.9411,0.9225
47,0.9285,0.9418,0.9223
48,0.9308,0.9417,0.9216
49,0.9322,0.9415,0.9221
50,0.9329,0.9414,0.9216
51,0.9347,0.9419,0.922
52,0.9337,0.9416,0.9215
53,0.9327,0.9414,0.9215
54,0.9306,0.9411,0.9215
55,0.9298,0.9415,0.9218
56,0.9283,0.9412,0.9225
57,0.9265,0.9411,0.9226
58,0.9241,0.9405,0.9224
59,0.9231,0.9409,0.9225
60,0.9228,0.9409,0.9228
61,0.9227,0.9407,0.9232
62,0.9227,0.9401,0.9237
63,0.9224,0.9398,0.9244
64,0.9228,0.9401,0.9245
65,0.9234,0.9394,0.925
66,0.9238,0.9398,0.9248
67,0.9246,0.9397,0.925
68,0.9251,0.9396,0.9255
69,0.9257,0.9393,0.9254
70,0.9259,0.9393,0.9266
71,0.9264,0.9392,0.9269
72,0.9267,0.9392,0.9275
73,0.9269,0.9387,0.9278
74,0.9272,0.9387,0.9279
75,0.9277,0.9383,0.9278
76,0.9278,0.9379,0.928
77,0.9277,0.9374,0.9279
78,0.9277,0.9368,0.9283
79,0.9281,0.9367,0.9287
80,0.9281,0.9365,0.9289
81,0.928,0.9367,0.9288
82,0.9281,0.9366,0.929
83,0.9281,0.9366,0.9294
84,0.9283,0.9368,0.9294
85,0.9281,0.9366,0.9293
86,0.9284,0.9364,0.9295
87,0.9283,0.9363,0.9295
88,0.9285,0.9361,0.9299
89,0.9283,0.9354,0.9299
90,0.9285,0.9355,0.9297
91,0.9289,0.9351,0.93
92,0.929,0.9339,0.9302
93,0.9292,0.9339,0.9306
94,0.9294,0.9332,0.9307
95,0.93,0.9331,0.9305
96,0.9299,0.9326,0.9302
97,0.9299,0.932,0.9301
98,0.93,0.9314,0.9299
99,0.9303,0.9312,0.9299
100,0.9303,0.9303,0.9303
