,a-b-orig,a-b-rebasin,b-orig-b-rebasin
0,0.9323,0.9323,0.9466
1,0.9326,0.9331,0.9464
2,0.9327,0.9337,0.9464
3,0.933,0.934,0.9463
4,0.9332,0.9341,0.9459
5,0.9334,0.9348,0.9459
6,0.9335,0.9352,0.9459
7,0.9338,0.9354,0.9462
8,0.9333,0.9358,0.9461
9,0.9334,0.9362,0.9462
10,0.9334,0.9363,0.9465
11,0.9337,0.9366,0.9465
12,0.9335,0.937,0.9467
13,0.9335,0.9374,0.9466
14,0.9333,0.9376,0.9467
15,0.9332,0.9383,0.9467
16,0.9326,0.9391,0.9467
17,0.9326,0.9396,0.9464
18,0.9323,0.9409,0.9463
19,0.9322,0.942,0.9464
20,0.9319,0.9418,0.9465
21,0.9314,0.9419,0.9466
22,0.9308,0.9421,0.9463
23,0.9311,0.9423,0.9462
24,0.9313,0.9428,0.9461
25,0.9314,0.9431,0.9458
26,0.9313,0.9432,0.946
27,0.9314,0.9439,0.9462
28,0.9315,0.9439,0.9458
29,0.9309,0.9445,0.9451
30,0.9308,0.945,0.9452
31,0.9306,0.9456,0.9449
32,0.9299,0.9455,0.9448
33,0.9293,0.9457,0.9445
34,0.9284,0.9462,0.9447
35,0.9279,0.9464,0.9446
36,0.9276,0.9467,0.9442
37,0.9276,0.9471,0.9439
38,0.9277,0.9472,0.9435
39,0.9286,0.9477,0.9433
40,0.9289,0.9479,0.9429
41,0.9294,0.9478,0.9424
42,0.9306,0.9478,0.9418
43,0.9316,0.9479,0.9415
44,0.9337,0.9483,0.9413
45,0.9366,0.9482,0.9404
46,0.9389,0.9488,0.9401
47,0.9413,0.949,0.9395
48,0.9443,0.9487,0.9382
49,0.9467,0.9487,0.9363
50,0.9474,0.9488,0.9349
51,0.948,0.9485,0.9341
52,0.9489,0.9492,0.9333
53,0.9486,0.9495,0.9326
54,0.9476,0.9495,0.9326
55,0.9463,0.9496,0.9329
56,0.9452,0.9496,0.9331
57,0.9448,0.95,0.934
58,0.9438,0.9504,0.9346
59,0.9427,0.9503,0.9355
60,0.9422,0.9504,0.9369
61,0.9425,0.9504,0.9374
62,0.9425,0.9502,0.9377
63,0.9425,0.9506,0.9385
64,0.9427,0.9509,0.9388
65,0.9427,0.9512,0.939
66,0.9428,0.9512,0.9401
67,0.9432,0.9514,0.9409
68,0.9434,0.9507,0.9414
69,0.9438,0.9508,0.9418
70,0.9439,0.9506,0.9422
71,0.944,0.9503,0.9425
72,0.9441,0.9503,0.9425
73,0.9443,0.9504,0.9426
74,0.9446,0.9509,0.9433
75,0.9443,0.9506,0.9437
76,0.9444,0.9505,0.9437
77,0.9446,0.9504,0.944
78,0.9446,0.9506,0.9444
79,0.9446,0.951,0.9447
80,0.9449,0.9507,0.9446
81,0.9451,0.9507,0.945
82,0.9453,0.951,0.9453
83,0.9455,0.9507,0.9455
84,0.9457,0.9514,0.9459
85,0.9459,0.9513,0.946
86,0.946,0.9516,0.9461
87,0.9459,0.9511,0.9459
88,0.946,0.951,0.9459
89,0.9459,0.9505,0.9457
90,0.9462,0.9504,0.9458
91,0.9465,0.9498,0.9458
92,0.9464,0.9493,0.9461
93,0.9464,0.9496,0.9458
94,0.946,0.949,0.9459
95,0.9461,0.948,0.9461
96,0.9461,0.9476,0.9463
97,0.9465,0.9475,0.9463
98,0.9463,0.9471,0.9463
99,0.9467,0.9471,0.9466
100,0.9466,0.9466,0.9466
