,a-b-orig,a-b-rebasin,b-orig-b-rebasin
0,0.8391,0.8391,0.9225
1,0.8397,0.8399,0.9224
2,0.8395,0.8401,0.9223
3,0.8397,0.841,0.9221
4,0.8394,0.8415,0.9218
5,0.8396,0.8419,0.9214
6,0.8395,0.8424,0.9212
7,0.8399,0.8432,0.9204
8,0.8401,0.8433,0.9206
9,0.8404,0.8439,0.9202
10,0.8405,0.8449,0.9198
11,0.8404,0.8457,0.9198
12,0.8403,0.8462,0.9199
13,0.8402,0.8469,0.9194
14,0.84,0.8472,0.9192
15,0.8398,0.8473,0.9187
16,0.8399,0.8479,0.9178
17,0.8401,0.8481,0.9174
18,0.8403,0.848,0.9174
19,0.8405,0.8482,0.9169
20,0.8406,0.8483,0.9157
21,0.8406,0.8482,0.9156
22,0.8408,0.8489,0.9152
23,0.841,0.8487,0.9144
24,0.841,0.849,0.9137
25,0.8406,0.8489,0.9128
26,0.8409,0.8488,0.9124
27,0.8405,0.8489,0.9115
28,0.8404,0.8488,0.9111
29,0.8398,0.8491,0.9096
30,0.8393,0.8492,0.909
31,0.8391,0.8494,0.908
32,0.8385,0.8497,0.9066
33,0.8382,0.8497,0.9044
34,0.8388,0.85,0.9034
35,0.8384,0.8497,0.9025
36,0.8388,0.8501,0.9006
37,0.8388,0.8503,0.8989
38,0.8393,0.8512,0.8972
39,0.8403,0.8518,0.8959
40,0.8438,0.8527,0.8954
41,0.8544,0.8565,0.8941
42,0.8746,0.867,0.8929
43,0.894,0.8825,0.8921
44,0.9023,0.905,0.892
45,0.9131,0.9185,0.8925
46,0.9188,0.9281,0.8932
47,0.9231,0.93,0.8939
48,0.9233,0.9292,0.8932
49,0.9254,0.9271,0.8944
50,0.9252,0.9253,0.8976
51,0.9249,0.9239,0.8989
52,0.9236,0.9228,0.8981
53,0.9228,0.9224,0.8994
54,0.9221,0.9215,0.8999
55,0.9207,0.9203,0.9005
56,0.9185,0.9194,0.9012
57,0.9177,0.9195,0.9014
58,0.9169,0.9191,0.902
59,0.9164,0.9198,0.9034
60,0.915,0.9197,0.9034
61,0.9156,0.9206,0.9038
62,0.9156,0.9211,0.9046
63,0.9157,0.9216,0.9058
64,0.9154,0.9222,0.9068
65,0.9155,0.9227,0.9076
66,0.9162,0.9234,0.9082
67,0.916,0.9237,0.9093
68,0.9161,0.9245,0.9106
69,0.9166,0.9248,0.911
70,0.9173,0.9258,0.9117
71,0.9179,0.9267,0.9122
72,0.9177,0.9275,0.9128
73,0.9186,0.9281,0.9132
74,0.9184,0.9282,0.9134
75,0.9187,0.9289,0.9143
76,0.9191,0.9295,0.9145
77,0.9194,0.9297,0.9148
78,0.9195,0.9291,0.9151
79,0.9195,0.9295,0.9154
80,0.9197,0.9297,0.9155
81,0.9199,0.93,0.9165
82,0.9199,0.9298,0.9169
83,0.9202,0.9297,0.9176
84,0.9204,0.93,0.9184
85,0.9204,0.9297,0.9187
86,0.9201,0.9295,0.9187
87,0.9205,0.9291,0.9188
88,0.9207,0.9289,0.919
89,0.9207,0.9289,0.9193
90,0.9208,0.9285,0.9197
91,0.9213,0.9285,0.9203
92,0.9214,0.9281,0.9206
93,0.9218,0.9274,0.9207
94,0.9221,0.9271,0.921
95,0.9219,0.9265,0.9214
96,0.9219,0.926,0.9215
97,0.9219,0.9252,0.9213
98,0.9221,0.9245,0.922
99,0.9223,0.9238,0.922
100,0.9225,0.9225,0.9225
