,a-b-orig,a-b-rebasin,b-orig-b-rebasin
0,0.9715,0.9715,0.9694
1,0.9717,0.9716,0.9694
2,0.9715,0.9716,0.9692
3,0.9714,0.9714,0.9693
4,0.9716,0.9714,0.9695
5,0.9714,0.9715,0.9696
6,0.9711,0.9714,0.9697
7,0.9709,0.9713,0.9698
8,0.9707,0.971,0.9696
9,0.9705,0.9708,0.9694
10,0.9703,0.9707,0.9696
11,0.9706,0.9704,0.9698
12,0.9708,0.97,0.9697
13,0.9705,0.97,0.9696
14,0.9701,0.9697,0.9695
15,0.9698,0.9693,0.9693
16,0.9694,0.9688,0.969
17,0.9692,0.9684,0.969
18,0.9688,0.9675,0.969
19,0.9678,0.9672,0.9687
20,0.9674,0.9667,0.9682
21,0.9671,0.9664,0.9677
22,0.9667,0.9664,0.9679
23,0.9659,0.9655,0.9678
24,0.9651,0.9654,0.9673
25,0.9641,0.9645,0.967
26,0.9631,0.9634,0.9662
27,0.9626,0.9631,0.9651
28,0.9618,0.9628,0.9642
29,0.9605,0.9621,0.9636
30,0.9592,0.9613,0.9624
31,0.9579,0.9603,0.9608
32,0.9563,0.9591,0.9589
33,0.9542,0.958,0.9579
34,0.9517,0.957,0.9563
35,0.9482,0.9554,0.9539
36,0.9456,0.954,0.9515
37,0.9428,0.9516,0.949
38,0.9396,0.9495,0.9454
39,0.9349,0.9475,0.9411
40,0.9301,0.9459,0.9376
41,0.9233,0.9438,0.9334
42,0.9172,0.9415,0.9282
43,0.9124,0.9388,0.9226
44,0.9054,0.9377,0.9157
45,0.8948,0.9355,0.9082
46,0.8873,0.9332,0.9015
47,0.8782,0.9316,0.8956
48,0.8669,0.9315,0.8889
49,0.856,0.9322,0.8843
50,0.8479,0.9336,0.8818
51,0.8416,0.9348,0.881
52,0.8412,0.9368,0.8834
53,0.8462,0.9383,0.8874
54,0.8554,0.9404,0.8925
55,0.868,0.9424,0.9017
56,0.8803,0.9445,0.9083
57,0.8929,0.9461,0.9165
58,0.9045,0.9487,0.9246
59,0.9132,0.9506,0.9314
60,0.9215,0.9526,0.9382
61,0.9281,0.9542,0.9427
62,0.9332,0.9561,0.9465
63,0.9387,0.958,0.9492
64,0.9437,0.9596,0.9518
65,0.9469,0.9602,0.9546
66,0.9504,0.9617,0.9565
67,0.9526,0.9631,0.9584
68,0.955,0.9645,0.9599
69,0.9569,0.9649,0.9608
70,0.9576,0.9653,0.9622
71,0.9591,0.9657,0.9633
72,0.9602,0.9663,0.9637
73,0.9614,0.9663,0.9645
74,0.9624,0.967,0.9648
75,0.9632,0.9675,0.9651
76,0.9641,0.9679,0.9653
77,0.9647,0.968,0.9652
78,0.9652,0.9685,0.9653
79,0.9656,0.9684,0.966
80,0.9662,0.9687,0.9665
81,0.9667,0.9687,0.9667
82,0.9667,0.9691,0.9676
83,0.9669,0.9691,0.9676
84,0.9672,0.9689,0.9676
85,0.9675,0.9693,0.9682
86,0.9677,0.9696,0.9681
87,0.9678,0.9696,0.9682
88,0.968,0.9693,0.9685
89,0.968,0.9695,0.9687
90,0.968,0.9698,0.9689
91,0.9683,0.97,0.9688
92,0.9683,0.9701,0.9686
93,0.9683,0.97,0.9684
94,0.9684,0.9697,0.9687
95,0.9685,0.9697,0.9687
96,0.9689,0.9696,0.9692
97,0.9691,0.9699,0.9694
98,0.9689,0.9699,0.9692
99,0.9691,0.9697,0.9695
100,0.9694,0.9694,0.9694
