,a-b-rebasin,a-b-orig,b-orig-b-rebasin
0,1.0023523569107056,1.0023523569107056,1.002723217010498
1,1.0025911331176758,1.0032027959823608,1.0034798383712769
2,1.003812551498413,1.0034668445587158,1.003127098083496
3,1.0049457550048828,1.0058716535568237,1.003454327583313
4,1.0071055889129639,1.007077932357788,1.003112554550171
5,1.0087260007858276,1.008507251739502,1.0033485889434814
6,1.0107934474945068,1.0117231607437134,1.0043036937713623
7,1.0132269859313965,1.0141587257385254,1.004669189453125
8,1.0161101818084717,1.0175695419311523,1.0047767162322998
9,1.0190503597259521,1.0212488174438477,1.0053918361663818
10,1.022674798965454,1.0248854160308838,1.0055265426635742
11,1.0262112617492676,1.0285695791244507,1.0064945220947266
12,1.0288922786712646,1.032517910003662,1.0079784393310547
13,1.0345886945724487,1.0379084348678589,1.007720708847046
14,1.0385977029800415,1.042496681213379,1.0084333419799805
15,1.0441510677337646,1.0482690334320068,1.0099353790283203
16,1.0483747720718384,1.0549492835998535,1.011383295059204
17,1.0544241666793823,1.0611441135406494,1.012739658355713
18,1.0607106685638428,1.067561149597168,1.0141483545303345
19,1.0682036876678467,1.0755342245101929,1.0165812969207764
20,1.072948694229126,1.0821607112884521,1.0180141925811768
21,1.0802528858184814,1.0918517112731934,1.0205495357513428
22,1.0884040594100952,1.1023401021957397,1.0223991870880127
23,1.0965791940689087,1.1096383333206177,1.0248949527740479
24,1.1051020622253418,1.122995376586914,1.0286548137664795
25,1.1142150163650513,1.1339836120605469,1.0311524868011475
26,1.1219316720962524,1.1444724798202515,1.035650372505188
27,1.132348656654358,1.158215045928955,1.0400115251541138
28,1.1391370296478271,1.1748485565185547,1.0440313816070557
29,1.1538968086242676,1.1917476654052734,1.0494177341461182
30,1.1617794036865234,1.2056407928466797,1.0560228824615479
31,1.1759657859802246,1.2269024848937988,1.0629048347473145
32,1.188733458518982,1.2469909191131592,1.0712791681289673
33,1.1992419958114624,1.273207426071167,1.0798869132995605
34,1.2126941680908203,1.3088785409927368,1.0897223949432373
35,1.2274765968322754,1.3459186553955078,1.101896047592163
36,1.2375818490982056,1.3751599788665771,1.1154537200927734
37,1.2536752223968506,1.4214799404144287,1.1324018239974976
38,1.2679387331008911,1.4773691892623901,1.1471149921417236
39,1.2825729846954346,1.5377256870269775,1.165339469909668
40,1.2951480150222778,1.599409818649292,1.1864824295043945
41,1.306755542755127,1.6723214387893677,1.209944248199463
42,1.3197218179702759,1.73842453956604,1.233144998550415
43,1.3322970867156982,1.807247519493103,1.2630560398101807
44,1.3463969230651855,1.8875914812088013,1.2926254272460938
45,1.3557761907577515,1.9544649124145508,1.321270227432251
46,1.3588966131210327,1.9981768131256104,1.3486535549163818
47,1.3665906190872192,2.057915210723877,1.3741103410720825
48,1.3719953298568726,2.0864076614379883,1.4007527828216553
49,1.3746857643127441,2.102879047393799,1.4201643466949463
50,1.3763679265975952,2.1199517250061035,1.4264061450958252
51,1.373550534248352,2.107511520385742,1.4207355976104736
52,1.3735018968582153,2.098884105682373,1.418292760848999
53,1.3701448440551758,2.076180934906006,1.3996504545211792
54,1.3636021614074707,2.0332531929016113,1.3796653747558594
55,1.3599756956100464,1.989611029624939,1.3475604057312012
56,1.3460583686828613,1.9298609495162964,1.3201810121536255
57,1.3370933532714844,1.871751308441162,1.291321039199829
58,1.3267441987991333,1.795056700706482,1.260824203491211
59,1.3147345781326294,1.7302181720733643,1.2333894968032837
60,1.3062770366668701,1.6515560150146484,1.2054871320724487
61,1.2885215282440186,1.599320411682129,1.183045506477356
62,1.2755590677261353,1.523275375366211,1.1608392000198364
63,1.258865475654602,1.4897346496582031,1.14286208152771
64,1.2451486587524414,1.4331108331680298,1.1246424913406372
65,1.2364492416381836,1.3750554323196411,1.1099989414215088
66,1.2210155725479126,1.3400135040283203,1.096609354019165
67,1.206905484199524,1.309425711631775,1.0864720344543457
68,1.193895697593689,1.2792587280273438,1.0751742124557495
69,1.1826348304748535,1.248045802116394,1.0651724338531494
70,1.170458197593689,1.223300814628601,1.0585241317749023
71,1.160318374633789,1.2040737867355347,1.051687240600586
72,1.1507506370544434,1.1856372356414795,1.0454165935516357
73,1.1398403644561768,1.1705149412155151,1.0403249263763428
74,1.1294609308242798,1.1572186946868896,1.0367470979690552
75,1.119661569595337,1.1417338848114014,1.0319056510925293
76,1.1124515533447266,1.1277157068252563,1.0283132791519165
77,1.1033114194869995,1.119005799293518,1.0251740217208862
78,1.0955159664154053,1.1063127517700195,1.0222227573394775
79,1.0869243144989014,1.0976313352584839,1.0204198360443115
80,1.0799965858459473,1.0896053314208984,1.0178570747375488
81,1.0727020502090454,1.0811183452606201,1.015501856803894
82,1.0660426616668701,1.0728390216827393,1.0148926973342896
