Model 0: Loss: 1.5769801139831543, Acc: 0.6276000142097473
Model 1: Loss: 1.4835693836212158, Acc: 0.677899956703186
Model 2: Loss: 1.658111810684204, Acc: 0.6132000088691711
Model 3: Loss: 1.4434397220611572, Acc: 0.6904000043869019
Model 4: Loss: 1.4618016481399536, Acc: 0.6959999799728394
Model 5: Loss: 1.4442992210388184, Acc: 0.7066999673843384
Merged Model: Loss: 1.3129796981811523, Acc: 0.7854999899864197
Control Model (1): Loss: 1.4477936029434204, Acc: 0.7044999599456787
Control Model (2): Loss: 1.3926255702972412, Acc: 0.7281000018119812
Control Model (3): Loss: 1.460830807685852, Acc: 0.7089999914169312
Control Model (4): Loss: 1.298771858215332, Acc: 0.7915999889373779
Control Model (5): Loss: 1.4968945980072021, Acc: 0.6811000108718872
Control Model (6): Loss: 1.4696857929229736, Acc: 0.694100022315979
