Model 0: Loss: 1.3428552150726318, Acc: 0.7720999717712402
Model 1: Loss: 1.3544204235076904, Acc: 0.7680000066757202
Model 2: Loss: 1.3113528490066528, Acc: 0.791100025177002
Model 3: Loss: 1.3109039068222046, Acc: 0.7872999906539917
Model 4: Loss: 1.3193812370300293, Acc: 0.7823999524116516
Model 5: Loss: 1.3658677339553833, Acc: 0.765999972820282
Merged Model: Loss: 1.260608434677124, Acc: 0.8091000318527222
Control Model (1): Loss: 1.3193016052246094, Acc: 0.7843999862670898
Control Model (2): Loss: 1.28964364528656, Acc: 0.7976000308990479
Control Model (3): Loss: 1.3090338706970215, Acc: 0.7894999980926514
Control Model (4): Loss: 1.4029468297958374, Acc: 0.7258000373840332
Control Model (5): Loss: 1.3504424095153809, Acc: 0.7598999738693237
Control Model (6): Loss: 1.2354520559310913, Acc: 0.8212000131607056
