weight_decay,hidden_features,num_models,max_avg,std_avg,max_merged,std_merged,loss_ratio,acc_ratio
0.0,50,2,0.9942665559986529,0.2911224299059889,0.9872104504618782,0.23425119848677906,1.2295438712336597,0.6824649563607512
0.0,50,3,0.9942424643915682,0.29110440394431514,0.9471802273497414,0.20763959828466652,1.3253152091378808,0.46187240801200036
0.0,50,4,0.9942420976502555,0.29121324708340973,0.914747359272771,0.1932482873193753,1.3266606982602291,0.4577985396163092
0.0,50,5,0.9943472014876981,0.2914680012236959,0.9027250268207953,0.18954213577718398,1.325053706664155,0.5878834396421672
0.0,50,6,0.9943730297730161,0.2915023072078205,0.8287910769541804,0.16965947907191878,1.356909614679575,0.5701989558346267
0.0,100,2,0.9986142834154561,0.2993876915484571,0.9829186431516093,0.25171496388249504,1.2095379034350875,0.7325514725045609
0.0,100,3,0.9986142836058863,0.29938769164367224,0.9829186431516093,0.25171496388249504,1.2095379019070855,0.7325514725045609
0.0,100,4,0.998620929809424,0.29949636784351413,0.9665365546656112,0.21964423572674346,1.2601410717878574,0.7273771005114289
0.0,100,5,0.9986827712946426,0.29956592298068174,0.9337096867469934,0.21248835606125596,1.3081621829551862,0.681790888917896
0.0,100,6,0.9986887108784513,0.29965067043091165,0.9105939596605758,0.20473958775639153,1.336012080732348,0.584556597272974
0.0,150,2,0.9995340449741473,0.3019080185852112,0.9887799559690701,0.254401674523902,1.1464455409149166,0.8885429638854296
0.0,150,3,0.9995340453550077,0.3019080188232489,0.9887799559690701,0.254401674523902,1.1464455422264064,0.8885429638854296
0.0,150,4,0.9995369484630255,0.30186483133842135,0.9478593596254294,0.2025893927096559,1.2608218546493317,0.7996193771626297
0.0,150,5,0.999515156205089,0.30166973578282436,0.913882179191699,0.19338488126524722,1.3101821911536684,0.6844742102120811
0.0,150,6,0.9995081665036016,0.30152164943302023,0.9035304243953083,0.1844573756947685,1.3286219071690026,0.6303070566985696
0.0,200,2,0.9996897836272328,0.30235951862777,0.9927072376488878,0.26011519619641593,1.137332495668936,0.8847587492234418
0.0,200,3,0.999689783817663,0.30235951886580775,0.9927072376488878,0.26011519619641593,1.1373324950892822,0.8847587492234418
0.0,200,4,0.9996873558646701,0.30236053057372,0.9673711863188698,0.22180022780125896,1.2285662205139778,0.782595187959543
0.0,200,5,0.9996790417943138,0.3022127933205126,0.9131113157485621,0.18853855885255832,1.2986161585801308,0.7267735502085007
0.0,200,6,0.9996823042345504,0.30208688715395454,0.9333740455654863,0.13986734967357434,1.3813963076205176,0.6714161454665949
0.0,250,2,0.9998112504665082,0.3024385886641737,0.9941724765415009,0.28080731506545703,1.0949916805508357,0.9275182368461896
0.0,250,3,0.9998112504665082,0.30243858842613597,0.9941724765415009,0.28080731506545703,1.0949916805508357,0.9275182368461896
0.0,250,4,0.9997952136749658,0.30204746387383175,0.9670016982684881,0.210376860139469,1.2670699724878263,0.7569533000172325
0.0,250,5,0.9997920687206256,0.3020311493319444,0.9572612239529912,0.2308108917059609,1.3269505789371925,0.6024650525826206
0.0,250,6,0.9998019034870136,0.3022257990159166,0.8557883579129228,0.17089499466525862,1.36218311118872,0.631603978412357
0.0,300,2,0.9998408519802764,0.3021734912936299,0.9877708188641947,0.24909500077890512,1.1503351395346928,0.8802977051891668
0.0,300,3,0.9998408517898462,0.30217349134123744,0.9877708188641947,0.24909500077890512,1.1503351392407406,0.8802977051891668
0.0,300,4,0.9998533997418907,0.30247198176967954,0.9672694057702257,0.22889114240297495,1.1932041265295485,0.9057539340931786
0.0,300,5,0.9998471861639724,0.3024049089215815,0.8932921126627693,0.1712114810467528,1.3182346554015205,0.7897576211249064
0.0,300,6,0.9998520572345477,0.30243525383190606,0.8875169496947584,0.19665762943962511,1.307145242004336,0.7696753286961547
0.0,350,2,0.9999083523361828,0.30312895222593805,0.9963538715252861,0.2599502679543754,1.1176677401071307,0.9256334829953038
0.0,350,3,0.9999083523361828,0.30312895213072294,0.9963538715252861,0.2599502679543754,1.117667739392518,0.9256334829953038
0.0,350,4,0.9999095894023379,0.30309455475995084,0.9640783250522309,0.20211852858432186,1.2828471836051414,0.702430471999725
0.0,350,5,0.999909250833356,0.303074991265044,0.9234145388435632,0.18080985703216956,1.347093172959224,0.595979381443299
0.0,350,6,0.9999108960072454,0.3030261188650284,0.8843467380292118,0.15442494519602376,1.3694782192283397,0.6770027439087288
0.0,400,2,0.9999393121883893,0.30329845488642737,0.9970041166860074,0.2643817303755794,1.1021523919751564,0.9328038780877727
0.0,400,3,0.9999393121883893,0.30329845502924996,0.9970041166860074,0.2643817303755794,1.1021523900010577,0.9328038780877727
0.0,400,4,0.9999442999355329,0.3033567984391072,0.9806693862802305,0.22132203668451156,1.2106196598852736,0.8456410432631182
0.0,400,5,0.9999372018411898,0.30307241117421047,0.9113731843214066,0.18027646930073016,1.3159413957711885,0.7236848884538101
0.0,400,6,0.9999362877763499,0.30312359245440446,0.8452238541441603,0.1624889686084784,1.3639309925801748,0.6553237973535595
0.0,450,2,0.9999518950526326,0.3030004434216137,0.994035325492152,0.25777988940382157,1.1157996997332706,0.9373972039473685
0.0,450,3,0.9999518950526326,0.3030004433740061,0.994035325492152,0.25777988940382157,1.1157996998762363,0.9373972039473685
0.0,450,4,0.9999496107792067,0.3029891873002687,0.9615096855468263,0.2206883435717787,1.218335443222203,0.9013891270794033
0.0,450,5,0.9999460045712444,0.3029540843380907,0.9441398787803162,0.19104673187382304,1.2999533907103795,0.7902810666117575
