weight_decay,hidden_features,loss_avg,acc_avg,loss_merged,acc_merged
0.0,100,1.5073714566053038,0.9588666666666666,1.947195442720724,0.6366
0.0,400,1.4863613864230398,0.9716333333333332,1.866387016476153,0.785
0.0,800,1.4865715730939302,0.9688666666666667,1.7358288734484786,0.8943
0.0,1200,1.4824825700479574,0.9733999999999999,1.651868944731764,0.8993
0.0,1600,1.4820400679581207,0.9735333333333335,1.5991073496425494,0.9257
0.0,2000,1.4846625411853243,0.9699666666666666,1.56627284109402,0.9343
0.1,100,1.7265009594420657,0.9566,1.7736320686035645,0.9442
0.1,400,1.5894924267666282,0.9499666666666666,1.6029503204571172,0.9628
0.1,800,1.5522626685385255,0.9523333333333334,1.5562111261172797,0.9643
0.1,1200,1.5353869310202308,0.9559000000000001,1.540494087405098,0.9622
0.1,1600,1.5278564647109871,0.9548333333333333,1.52811165701467,0.9643
0.1,2000,1.522533227460453,0.9554,1.5252675945385576,0.9634
0.2,100,1.8551357950265415,0.9396666666666667,1.8796044976566546,0.9545
0.2,400,1.645223645991284,0.9539333333333334,1.6654868906679245,0.959
0.2,800,1.5883321802710064,0.9532666666666666,1.5980745694888667,0.9623
0.2,1200,1.5624340197529654,0.9572333333333334,1.5720198603864677,0.9622
0.2,1600,1.556535327396454,0.9481666666666667,1.5580458583923193,0.961
0.2,2000,1.5434583449643007,0.9548666666666666,1.5495466245249057,0.965
0.3,100,1.9300232855275796,0.9118666666666666,1.9468166851007138,0.9511
0.3,400,1.695588632259633,0.9494666666666666,1.715621162146425,0.9598
0.3,800,1.6216568643419633,0.9500333333333334,1.6359302491044845,0.9577
0.3,1200,1.5924174771649133,0.9482666666666666,1.6043226448491739,0.9548
0.3,1600,1.5731184304839634,0.9502333333333333,1.5808328291097768,0.9594
0.3,2000,1.5621660108637379,0.9507333333333333,1.5741938466842944,0.9585
0.4,100,1.968765813321732,0.9137,1.9828043669557418,0.9057
0.4,400,1.7375152653144699,0.9500000000000001,1.7572695919499992,0.9579
0.4,800,1.6494094237478905,0.9495999999999999,1.6651870309354397,0.9559
0.4,1200,1.610765012181478,0.9511333333333333,1.62846738233353,0.9547
0.4,1600,1.596436529240796,0.9421,1.5998012105496928,0.9612
0.4,2000,1.5824533334047526,0.9459999999999998,1.595565268787713,0.9534
0.5,100,1.9982157491139583,0.9070333333333335,2.0110957340691415,0.9331
0.5,400,1.7822271940934138,0.9354666666666667,1.796063439152873,0.9537
0.5,800,1.68160444732926,0.9389,1.6960160404729385,0.9492
0.5,1200,1.6360840083945927,0.9443666666666667,1.6470711528302762,0.9578
0.5,1600,1.6127813361323298,0.9459,1.6191847053960489,0.9589
0.5,2000,1.5996140616135603,0.9415333333333334,1.6143088893006785,0.9532
0.6,100,2.022302127493837,0.8506333333333332,2.0318207375157757,0.8662
0.6,400,1.8116665154346387,0.9371999999999999,1.8247557493825308,0.953
0.6,800,1.7049214342277779,0.9417999999999999,1.720333038046718,0.9479
0.6,1200,1.657063632727431,0.9418333333333333,1.667828345070251,0.9567
0.6,1600,1.6324434864381379,0.9366666666666666,1.644645189324888,0.946
0.6,2000,1.6115860329649319,0.9415666666666667,1.6329707741356505,0.9497
0.7,100,2.044071179736283,0.8619666666666667,2.054151577690539,0.8915
0.7,400,1.8391438117042516,0.9396000000000001,1.853233312646421,0.9533
0.7,800,1.728497214210681,0.9383,1.7407106062093862,0.9515
0.7,1200,1.6693612155568995,0.9486666666666667,1.6876009428463044,0.9531
0.7,1600,1.64802384490784,0.9383666666666667,1.660702283390033,0.9492
0.7,2000,1.632950433273031,0.9330666666666666,1.6483042381061153,0.9487
0.8,100,2.0627309478763824,0.8682333333333334,2.0726004263844353,0.8559
0.8,400,1.8657408423317126,0.9356666666666666,1.8774714142369766,0.9465
0.8,800,1.7466621744239166,0.9398,1.7634174671416847,0.9433
0.8,1200,1.6910783713871933,0.9388666666666666,1.7071846186543425,0.9478
0.8,1600,1.6596182824704595,0.9400333333333334,1.6734010106839312,0.9534
0.8,2000,1.6415280461692199,0.9325999999999999,1.6619111478519135,0.952
0.9,100,2.076481253956073,0.8365333333333332,2.087295992305865,0.8423
0.9,400,1.891628205204924,0.8786333333333333,1.905342282578587,0.8537
0.9,800,1.768073557664792,0.9089666666666666,1.7940829074420868,0.8733
0.9,1200,1.7050263927386589,0.9409333333333333,1.7222060559275814,0.9478
0.9,1600,1.6723492696516302,0.9394666666666667,1.689117007362195,0.9494
0.9,2000,1.6527659584539005,0.9376000000000001,1.6794024816336341,0.9488
