,hidden_features,weight_decay,num_models,loss_avg,acc_avg,loss_merged,acc_merged
0,100,0.0,3,1.5552103354400213,0.9398333333333332,2.059180489363381,0.5767
1,200,0.0,3,1.5160613442127442,0.9537666666666667,1.9959959694371818,0.6048
2,300,0.0,3,1.5035706777542162,0.9606666666666667,1.983971921018899,0.5995
3,400,0.0,3,1.4984622134949073,0.9629333333333333,1.9291571595798285,0.6796
4,500,0.0,3,1.4950586365688598,0.9657666666666667,1.8762221203063623,0.7835
5,600,0.0,3,1.492917383948581,0.9665333333333335,1.8870787555798174,0.8103
6,700,0.0,3,1.492195251269843,0.9670666666666666,1.8910942222363651,0.7422
7,800,0.0,3,1.4910888233885597,0.9665666666666667,1.8283350863776648,0.8158
8,900,0.0,3,1.4907112903615285,0.9673666666666666,1.8493826892048406,0.819
9,1000,0.0,3,1.48941290835603,0.9674999999999999,1.7939829635924804,0.8673
10,1100,0.0,3,1.4910464282995595,0.9643999999999999,1.7908899593657959,0.8709
11,1200,0.0,3,1.48698539449511,0.9695666666666666,1.7589545547010037,0.9048
12,1300,0.0,3,1.488882671656827,0.9670000000000001,1.7408172596757785,0.9065
13,1400,0.0,3,1.4879704528469375,0.9691000000000001,1.7180336694747875,0.9006
14,1500,0.0,3,1.4882391707711833,0.9680666666666666,1.7224927569349733,0.9061
15,1600,0.0,3,1.489557366528577,0.9663333333333334,1.7237252720628684,0.8905
16,1700,0.0,3,1.4887092658125176,0.9678999999999999,1.6950207453566237,0.9236
17,1800,0.0,3,1.4890610398575903,0.9652666666666666,1.6892075332970664,0.8964
18,1900,0.0,3,1.489048024843803,0.9650333333333333,1.6692532883665432,0.929
19,2000,0.0,3,1.4887143461087262,0.9663333333333334,1.6738631310173497,0.9091
