,hidden_features,weight_decay,num_models,loss_avg,acc_avg,loss_merged,acc_merged
0,784,0.0,3,1.4902627827387398,0.9679333333333333,1.8604444790952883,0.8138
1,784,0.01,3,1.5018294910018561,0.9579666666666666,1.5222766380340527,0.9439
2,784,0.02,3,1.514697467938018,0.9488666666666666,1.517458987312195,0.95
3,784,0.03,3,1.5151084199373208,0.9546666666666667,1.5171824971707866,0.9589
4,784,0.04,3,1.5258027147561215,0.9459000000000001,1.522959705358877,0.9582
5,784,0.05,3,1.5288899417121573,0.9472,1.5295103121870242,0.953
6,784,0.06,3,1.535699684779865,0.9436666666666667,1.5396332093321097,0.9493
7,784,0.07,3,1.5383748728881121,0.9446,1.54070121068924,0.9545
8,784,0.08,3,1.5427088129380768,0.9446666666666667,1.5440915175520193,0.9552
9,784,0.09,3,1.548699492336716,0.9412333333333334,1.5474258611758296,0.9561
10,784,0.1,3,1.547397593593699,0.9460666666666667,1.5521805354962335,0.9549
