,a_b_original,a_b_rebasin,b_original_b_rebasin
0,6.978702434798336,6.978702434798336,7.472400950044013
1,6.965783067371534,6.948586993205273,7.410554389514582
2,6.977586594993806,6.930513192320723,7.366058073995059
3,7.007561312307177,6.923281243390135,7.327224455830996
4,7.047717982850721,6.948298135986718,7.29620804933026
5,7.099468309251244,7.009684896834976,7.276264979101508
6,7.121066154421443,7.0947440548626055,7.259986689633421
7,7.087046520179495,7.177340734340346,7.250398893185588
8,7.051877221183094,7.249755692299065,7.239750641386222
9,7.0178989583573985,7.221630175095385,7.231392751874217
10,6.999064448544436,7.139673516573503,7.226099543559277
11,7.001071843954608,7.073399037656272,7.2241382824490445
12,7.010985193350126,7.042075210215185,7.240372786436544
13,7.021477674889137,7.04080828742298,7.281863411369226
14,7.0367039945119485,7.0568165699844165,7.345177247396211
15,7.061925735619977,7.076105748296089,7.403862552569651
16,7.095845219424314,7.103654901084997,7.481604476718951
17,7.132664924387432,7.152085401822844,7.554813933799334
18,7.173541664772326,7.2276128734773994,7.576795603613109
19,7.220141201677834,7.334202117017468,7.577817176613967
20,7.266476846412015,7.417698841875471,7.585379771869201
21,7.299906551380596,7.508430104731294,7.631655536954056
22,7.319988623909328,7.5819901999305275,7.661503496682248
23,7.323635484861291,7.664806147670502,7.696766298445289
24,7.326830406627996,7.76654613719267,7.75612844164719
25,7.472400950044013,7.912132302208629,7.912132302208629
