,a_b_original,a_b_rebasin,b_original_b_rebasin
0,0.18182544757033248,0.18182544757033248,0.1578484654731458
1,0.23577365728900257,0.27373721227621484,0.14585997442455242
2,0.1898177749360614,0.25975063938618925,0.12188299232736573
3,0.18382352941176472,0.22977941176470587,0.10789641943734016
4,0.19980818414322252,0.21779092071611253,0.10989450127877237
5,0.10190217391304347,0.22178708439897699,0.16184462915601022
6,0.09990409207161126,0.19781010230179027,0.09990409207161126
7,0.09390984654731457,0.10589833759590793,0.09990409207161126
8,0.08591751918158567,0.1278772378516624,0.09990409207161126
9,0.09390984654731457,0.1278772378516624,0.09990409207161126
10,0.09990409207161126,0.17183503836317135,0.09790601023017903
11,0.09990409207161126,0.16584079283887468,0.09390984654731457
12,0.09990409207161126,0.1039002557544757,0.10190217391304347
13,0.09990409207161126,0.0959079283887468,0.10789641943734016
14,0.1039002557544757,0.08591751918158567,0.10190217391304347
15,0.09990409207161126,0.08391943734015345,0.09990409207161126
16,0.09990409207161126,0.09790601023017903,0.08192135549872123
17,0.09990409207161126,0.11788682864450128,0.09990409207161126
18,0.09990409207161126,0.09990409207161126,0.09990409207161126
19,0.09990409207161126,0.09990409207161126,0.09990409207161126
20,0.09990409207161126,0.09990409207161126,0.09990409207161126
21,0.09990409207161126,0.09990409207161126,0.09990409207161126
22,0.09990409207161126,0.10190217391304347,0.09990409207161126
23,0.10589833759590793,0.10190217391304347,0.09990409207161126
24,0.14985613810741688,0.10190217391304347,0.09790601023017903
25,0.1578484654731458,0.09390984654731457,0.09390984654731457
