,a-b-rebasin,a-b-orig,b-orig-b-rebasin
0,1.0292103290557861,1.0292103290557861,1.025963306427002
1,1.0297008752822876,1.029679298400879,1.026123046875
2,1.0301228761672974,1.030110239982605,1.0263255834579468
3,1.0309138298034668,1.03114652633667,1.0263710021972656
4,1.033129096031189,1.0326597690582275,1.0261691808700562
5,1.0336648225784302,1.0333006381988525,1.0267164707183838
6,1.0350301265716553,1.0349669456481934,1.0270131826400757
7,1.037575125694275,1.03706955909729,1.0273311138153076
8,1.0388928651809692,1.0391066074371338,1.027778148651123
9,1.0409295558929443,1.0418150424957275,1.028160810470581
10,1.043783187866211,1.045133113861084,1.0289764404296875
11,1.0477440357208252,1.0472807884216309,1.0297224521636963
12,1.0500164031982422,1.0512080192565918,1.030266523361206
13,1.053513765335083,1.0552127361297607,1.0318621397018433
14,1.0574411153793335,1.0598195791244507,1.032654047012329
15,1.0619690418243408,1.064887523651123,1.033592939376831
16,1.0672228336334229,1.0695853233337402,1.0350100994110107
17,1.0717520713806152,1.0765799283981323,1.037114143371582
18,1.0776501893997192,1.083046317100525,1.0391215085983276
19,1.0835120677947998,1.0904945135116577,1.0413187742233276
20,1.0904383659362793,1.0991551876068115,1.0431432723999023
21,1.096738338470459,1.1068153381347656,1.0464417934417725
22,1.105077862739563,1.117522954940796,1.0496567487716675
23,1.112178087234497,1.1286768913269043,1.0531108379364014
24,1.1214519739151,1.1401301622390747,1.0573723316192627
25,1.1297423839569092,1.154984712600708,1.0624059438705444
26,1.140228033065796,1.1687589883804321,1.0677913427352905
27,1.150815725326538,1.1846208572387695,1.0731213092803955
28,1.1623719930648804,1.2019014358520508,1.0809255838394165
29,1.1708595752716064,1.222924828529358,1.088402509689331
30,1.1854660511016846,1.242954969406128,1.0981868505477905
31,1.1974804401397705,1.2670645713806152,1.1076903343200684
32,1.2101260423660278,1.2944681644439697,1.1199572086334229
33,1.2225048542022705,1.3211491107940674,1.1344480514526367
34,1.238073468208313,1.3524601459503174,1.1498408317565918
35,1.2514666318893433,1.3881208896636963,1.1688059568405151
36,1.2652864456176758,1.425152063369751,1.1901791095733643
37,1.281226634979248,1.4659926891326904,1.2133121490478516
38,1.2938803434371948,1.510080337524414,1.2392956018447876
39,1.309009075164795,1.5587027072906494,1.2694734334945679
40,1.3229517936706543,1.6065974235534668,1.3016159534454346
41,1.3352994918823242,1.6602904796600342,1.338423252105713
42,1.3485498428344727,1.7134870290756226,1.3769385814666748
43,1.35947585105896,1.7699893712997437,1.4184190034866333
44,1.3699719905853271,1.8233213424682617,1.4604753255844116
45,1.378842830657959,1.8746107816696167,1.4963304996490479
46,1.3850767612457275,1.9226558208465576,1.5351691246032715
47,1.3916990756988525,1.9645483493804932,1.5676429271697998
48,1.3972386121749878,1.9988408088684082,1.5903376340866089
49,1.3996553421020508,2.023632049560547,1.613646149635315
50,1.4004572629928589,2.036668300628662,1.621009111404419
51,1.3999733924865723,2.0401413440704346,1.6250905990600586
52,1.399789571762085,2.032473087310791,1.6137202978134155
53,1.3952864408493042,2.0109214782714844,1.5962038040161133
54,1.390956997871399,1.981238842010498,1.573486566543579
55,1.3840091228485107,1.9415600299835205,1.5415358543395996
56,1.3756318092346191,1.8956252336502075,1.502532958984375
57,1.3677082061767578,1.846650242805481,1.4653223752975464
58,1.3559460639953613,1.7919998168945312,1.4235649108886719
59,1.3448256254196167,1.7355692386627197,1.383596420288086
60,1.3325401544570923,1.6796609163284302,1.3445327281951904
61,1.3195958137512207,1.6276655197143555,1.3079832792282104
62,1.306281566619873,1.574378490447998,1.2744680643081665
63,1.2922754287719727,1.5253150463104248,1.2439907789230347
64,1.2782169580459595,1.4791219234466553,1.2160444259643555
65,1.263200044631958,1.4371124505996704,1.1922072172164917
66,1.2490637302398682,1.397942304611206,1.1699273586273193
67,1.234496831893921,1.3614658117294312,1.1526720523834229
68,1.219558835029602,1.3279218673706055,1.1349971294403076
69,1.2073811292648315,1.2993906736373901,1.1210212707519531
70,1.1938409805297852,1.2715973854064941,1.108469009399414
71,1.1822365522384644,1.2476775646209717,1.0984437465667725
72,1.1708321571350098,1.2245080471038818,1.089712142944336
73,1.1582515239715576,1.2041460275650024,1.081425428390503
74,1.1474299430847168,1.1847985982894897,1.0737478733062744
75,1.1378192901611328,1.1682329177856445,1.0679693222045898
76,1.1283334493637085,1.1524509191513062,1.0619043111801147
77,1.1200861930847168,1.1393272876739502,1.0575166940689087
78,1.1106438636779785,1.1269580125808716,1.0539934635162354
79,1.1022987365722656,1.1157450675964355,1.0500288009643555
80,1.0950183868408203,1.104607105255127,1.046990990638733
81,1.0877325534820557,1.09573233127594,1.0439491271972656
82,1.0824679136276245,1.087371587753296,1.0414668321609497
83,1.0755797624588013,1.0791544914245605,1.0388840436935425
84,1.0697675943374634,1.0730255842208862,1.037343978881836
85,1.0642164945602417,1.0666805505752563,1.0352020263671875
86,1.060101866722107,1.0614571571350098,1.033747673034668
87,1.0559890270233154,1.0567734241485596,1.032710313796997
88,1.051477074623108,1.0517213344573975,1.0316375494003296
89,1.0475399494171143,1.0483070611953735,1.0308680534362793
90,1.0447458028793335,1.0445033311843872,1.0294733047485352
91,1.0416415929794312,1.041242003440857,1.0291266441345215
92,1.038424015045166,1.0386264324188232,1.028306007385254
93,1.0366123914718628,1.0361679792404175,1.0280817747116089
94,1.0342066287994385,1.0336309671401978,1.027368426322937
95,1.0325682163238525,1.03253173828125,1.0266839265823364
96,1.0307360887527466,1.0302338600158691,1.0263481140136719
97,1.0302053689956665,1.0293223857879639,1.0261306762695312
98,1.0285592079162598,1.0280182361602783,1.02628755569458
99,1.0275030136108398,1.0270843505859375,1.0263638496398926
100,1.026533842086792,1.025963306427002,1.026533842086792
