weight_decay,hidden_features,num_models,abs_mean_val,abs_mean_diff,eigval_diff,eigvec_angle
0.0,20,2,0.11116764694452286,0.01942768320441246,0.08084235340356827,89.96163177490234
0.0,40,2,0.08341226726770401,0.015217393636703491,0.04433939978480339,90.2565689086914
0.0,60,2,0.06876643747091293,0.00920051895081997,0.046486321836709976,89.96028900146484
0.0,80,2,0.06012739613652229,0.009007526561617851,0.01877784915268421,90.1064224243164
0.0,100,2,0.05448709800839424,0.004571113269776106,0.01592184789478779,90.08426666259766
0.0,120,2,0.04943767189979553,0.00556035665795207,0.010242852382361889,90.06108856201172
0.0,140,2,0.04581277817487717,0.006051566451787949,0.007124617230147123,90.01372528076172
0.0,160,2,0.042841583490371704,0.006698609795421362,0.009304615668952465,90.02336883544922
0.0,180,2,0.040469683706760406,0.003784025553613901,0.023689715191721916,89.9234848022461
0.0,200,2,0.03838229179382324,0.0035036182962358,0.02402869053184986,89.99475860595703
0.0,220,2,0.03665124624967575,0.004331608302891254,0.012715394608676434,89.9677963256836
0.0,240,2,0.03516926243901253,0.005703252740204334,0.011108734644949436,89.99553680419922
0.0,260,2,0.03383471071720123,0.002268331591039896,0.009922622703015804,89.9892578125
0.0,280,2,0.03258775174617767,0.0018726012203842402,0.0051437183283269405,89.9725341796875
0.0,300,2,0.03146563097834587,0.0028509413823485374,0.006796371191740036,90.02283477783203
0.0,320,2,0.030453559011220932,0.0025016842409968376,0.009891546331346035,89.9973373413086
0.0,340,2,0.029637789353728294,0.0031058802269399166,0.007130209356546402,89.989013671875
0.0,360,2,0.02883143723011017,0.0029038044158369303,0.007946542464196682,89.97965240478516
0.0,380,2,0.028115952387452126,0.0015821832930669188,0.004806250799447298,89.96746826171875
0.0,400,2,0.027349870651960373,0.0014346654061228037,0.00538426311686635,89.99386596679688
0.0,420,2,0.026771798729896545,0.002559374552220106,0.004250129219144583,89.9898910522461
0.0,440,2,0.026163334026932716,0.0014490525936707854,0.0038493238389492035,89.971435546875
0.0,460,2,0.025670558214187622,0.0019669814500957727,0.008061732165515423,89.9955825805664
0.0,480,2,0.02508021518588066,0.0014363025547936559,0.0069426014088094234,89.9866943359375
0.0,500,2,0.024628588929772377,0.0020493322517722845,0.004584028851240873,89.99465942382812
0.02,20,2,0.07372749596834183,0.020746856927871704,0.03265403211116791,89.64651489257812
0.02,40,2,0.04796445369720459,0.042954038828611374,0.14483821392059326,89.27764129638672
0.02,60,2,0.035609640181064606,0.04456404596567154,0.08531118184328079,89.6017074584961
0.02,80,2,0.028510987758636475,0.02692374214529991,0.07745843380689621,89.72699737548828
0.02,100,2,0.023912187665700912,0.05154421180486679,0.08300425857305527,89.64470672607422
0.02,120,2,0.02014934830367565,0.01786862686276436,0.06848422437906265,89.6346435546875
