distribution,ksize,sample_num,eigvec_angle
orthogonal,70,5,88.96905517578125
sparse0.5,70,5,88.60025787353516
uniform,70,6,87.5695571899414
gaussian,70,6,88.91532135009766
dirac,70,6,88.71428680419922
orthogonal,70,6,88.84664916992188
sparse0.5,70,6,88.00074005126953
uniform,80,1,87.36158752441406
gaussian,80,1,89.62955474853516
dirac,80,1,88.875
orthogonal,80,1,88.800537109375
sparse0.5,80,1,88.77100372314453
uniform,80,2,88.29527282714844
gaussian,80,2,89.41948699951172
dirac,80,2,88.875
orthogonal,80,2,87.9409408569336
sparse0.5,80,2,88.84114074707031
uniform,80,3,89.24163818359375
gaussian,80,3,88.98303985595703
dirac,80,3,88.875
orthogonal,80,3,88.62577056884766
sparse0.5,80,3,88.73456573486328
uniform,80,4,88.11659240722656
gaussian,80,4,89.7624740600586
dirac,80,4,88.875
orthogonal,80,4,88.9921875
sparse0.5,80,4,88.79829406738281
uniform,80,5,88.16313934326172
gaussian,80,5,88.69538116455078
dirac,80,5,88.875
orthogonal,80,5,88.40319061279297
sparse0.5,80,5,89.26014709472656
uniform,80,6,88.1312026977539
gaussian,80,6,88.78091430664062
dirac,80,6,88.875
orthogonal,80,6,89.27881622314453
sparse0.5,80,6,88.16056060791016
uniform,90,1,87.92839050292969
gaussian,90,1,88.45941162109375
dirac,90,1,89.0
orthogonal,90,1,89.97315216064453
sparse0.5,90,1,89.2917251586914
uniform,90,2,88.69798278808594
gaussian,90,2,89.09439086914062
dirac,90,2,89.0
orthogonal,90,2,89.20690155029297
sparse0.5,90,2,89.95037841796875
uniform,90,3,89.19060516357422
gaussian,90,3,89.41509246826172
dirac,90,3,89.0
orthogonal,90,3,88.61917114257812
sparse0.5,90,3,89.10323333740234
uniform,90,4,88.54431915283203
gaussian,90,4,89.00126647949219
dirac,90,4,89.0
orthogonal,90,4,89.06988525390625
sparse0.5,90,4,89.33938598632812
uniform,90,5,88.1815185546875
gaussian,90,5,89.3803482055664
dirac,90,5,89.0
orthogonal,90,5,89.1401596069336
sparse0.5,90,5,89.05592346191406
uniform,90,6,88.45145416259766
gaussian,90,6,89.28661346435547
dirac,90,6,89.0
orthogonal,90,6,89.04159545898438
sparse0.5,90,6,88.5758285522461
uniform,100,1,89.59093475341797
gaussian,100,1,88.02120971679688
dirac,100,1,89.10000610351562
orthogonal,100,1,88.96405029296875
sparse0.5,100,1,89.26935577392578
uniform,100,2,87.7264175415039
gaussian,100,2,89.49606323242188
dirac,100,2,89.10000610351562
orthogonal,100,2,88.68329620361328
sparse0.5,100,2,89.5587158203125
uniform,100,3,88.69741821289062
gaussian,100,3,89.18558502197266
dirac,100,3,89.10000610351562
orthogonal,100,3,89.20401000976562
sparse0.5,100,3,89.37738037109375
uniform,100,4,88.7532958984375
gaussian,100,4,88.90309143066406
dirac,100,4,89.10000610351562
orthogonal,100,4,89.42436981201172
sparse0.5,100,4,89.15132141113281
uniform,100,5,88.57579040527344
gaussian,100,5,88.83040618896484
dirac,100,5,89.10000610351562
orthogonal,100,5,88.96990203857422
sparse0.5,100,5,89.34650421142578
uniform,100,6,88.59358978271484
gaussian,100,6,89.19556427001953
dirac,100,6,89.10000610351562
orthogonal,100,6,89.2082748413086
sparse0.5,100,6,89.41736602783203
uniform,110,1,88.87846374511719
gaussian,110,1,88.43807983398438
dirac,110,1,89.18182373046875
orthogonal,110,1,89.4447250366211
sparse0.5,110,1,88.84740447998047
uniform,110,2,88.93545532226562
gaussian,110,2,88.4873046875
dirac,110,2,89.18182373046875
orthogonal,110,2,88.97039794921875
sparse0.5,110,2,89.80335998535156
uniform,110,3,88.40447998046875
gaussian,110,3,89.07562255859375
dirac,110,3,89.18182373046875
orthogonal,110,3,89.65877532958984
sparse0.5,110,3,89.3703384399414
uniform,110,4,88.84059143066406
gaussian,110,4,88.94559478759766
dirac,110,4,89.18182373046875
orthogonal,110,4,89.08486938476562
sparse0.5,110,4,89.05776977539062
uniform,110,5,89.16313171386719
gaussian,110,5,89.31050872802734
dirac,110,5,89.18182373046875
orthogonal,110,5,89.09282684326172
sparse0.5,110,5,88.99234771728516
uniform,110,6,88.69232177734375
gaussian,110,6,89.3099365234375
dirac,110,6,89.18182373046875
orthogonal,110,6,89.69473266601562
sparse0.5,110,6,89.30658721923828
uniform,120,1,88.23272705078125
gaussian,120,1,88.92428588867188
dirac,120,1,89.25
orthogonal,120,1,89.07359313964844
sparse0.5,120,1,88.81578063964844
uniform,120,2,88.6476058959961
gaussian,120,2,89.08678436279297
dirac,120,2,89.25
orthogonal,120,2,89.24528503417969
sparse0.5,120,2,89.48738098144531
uniform,120,3,88.00714111328125
gaussian,120,3,89.04401397705078
dirac,120,3,89.25
orthogonal,120,3,89.3624496459961
sparse0.5,120,3,89.53865814208984
uniform,120,4,88.6730728149414
gaussian,120,4,89.19568634033203
dirac,120,4,89.25
orthogonal,120,4,88.95940399169922
sparse0.5,120,4,88.8584976196289
uniform,120,5,89.17200469970703
gaussian,120,5,88.9896469116211
dirac,120,5,89.25
orthogonal,120,5,89.21174621582031
sparse0.5,120,5,89.11064910888672
uniform,120,6,88.84585571289062
gaussian,120,6,89.04901123046875
dirac,120,6,89.25
orthogonal,120,6,89.70873260498047
sparse0.5,120,6,89.42829132080078
uniform,130,1,87.6026840209961
gaussian,130,1,89.64213562011719
dirac,130,1,89.30769348144531
orthogonal,130,1,89.43490600585938
sparse0.5,130,1,89.43343353271484
uniform,130,2,88.98564147949219
gaussian,130,2,89.04576110839844
dirac,130,2,89.30769348144531
orthogonal,130,2,89.016357421875
sparse0.5,130,2,89.25299072265625
uniform,130,3,88.99569702148438
gaussian,130,3,88.65530395507812
dirac,130,3,89.30770111083984
orthogonal,130,3,89.0062484741211
sparse0.5,130,3,89.50222778320312
uniform,130,4,88.96146392822266
gaussian,130,4,89.55766296386719
dirac,130,4,89.30769348144531
orthogonal,130,4,89.54973602294922
sparse0.5,130,4,89.31926727294922
uniform,130,5,88.59123229980469
gaussian,130,5,89.40615844726562
dirac,130,5,89.30769348144531
orthogonal,130,5,88.99126434326172
sparse0.5,130,5,89.61979675292969
uniform,130,6,88.97907257080078
gaussian,130,6,89.42046356201172
dirac,130,6,89.30768585205078
orthogonal,130,6,89.53572845458984
sparse0.5,130,6,89.0149917602539
uniform,140,1,88.54275512695312
gaussian,140,1,90.23951721191406
dirac,140,1,89.35714721679688
orthogonal,140,1,89.74685668945312
sparse0.5,140,1,89.20975494384766
uniform,140,2,89.81262969970703
gaussian,140,2,89.46176147460938
dirac,140,2,89.35714721679688
orthogonal,140,2,89.30642700195312
sparse0.5,140,2,89.6400375366211
uniform,140,3,88.98816680908203
gaussian,140,3,89.32845306396484
dirac,140,3,89.35714721679688
orthogonal,140,3,89.40304565429688
sparse0.5,140,3,89.13262939453125
uniform,140,4,89.11241149902344
gaussian,140,4,89.15835571289062
dirac,140,4,89.35714721679688
orthogonal,140,4,89.05364990234375
sparse0.5,140,4,89.05488586425781
uniform,140,5,88.75071716308594
gaussian,140,5,89.54960632324219
dirac,140,5,89.35714721679688
orthogonal,140,5,89.37674713134766
sparse0.5,140,5,89.67137145996094
uniform,140,6,88.93317413330078
gaussian,140,6,89.7611083984375
dirac,140,6,89.35714721679688
orthogonal,140,6,89.04529571533203
sparse0.5,140,6,89.1074447631836
uniform,150,1,89.9936294555664
gaussian,150,1,89.69735717773438
dirac,150,1,89.4000015258789
orthogonal,150,1,89.60226440429688
sparse0.5,150,1,89.85122680664062
uniform,150,2,88.6531982421875
gaussian,150,2,89.29400634765625
dirac,150,2,89.4000015258789
orthogonal,150,2,89.2012939453125
sparse0.5,150,2,89.90119934082031
uniform,150,3,89.14534759521484
gaussian,150,3,89.62347412109375
dirac,150,3,89.4000015258789
orthogonal,150,3,89.37532806396484
sparse0.5,150,3,89.0069580078125
uniform,150,4,89.16925048828125
gaussian,150,4,89.73554229736328
dirac,150,4,89.4000015258789
orthogonal,150,4,89.44244384765625
sparse0.5,150,4,89.48921203613281
uniform,150,5,89.2289047241211
gaussian,150,5,89.13203430175781
dirac,150,5,89.4000015258789
orthogonal,150,5,89.35932922363281
sparse0.5,150,5,89.3113784790039
uniform,150,6,89.01036834716797
gaussian,150,6,89.4363784790039
dirac,150,6,89.4000015258789
orthogonal,150,6,89.42499542236328
sparse0.5,150,6,89.30255126953125
uniform,160,1,89.18744659423828
gaussian,160,1,89.85814666748047
dirac,160,1,89.4375
orthogonal,160,1,89.24945068359375
sparse0.5,160,1,89.1495590209961
uniform,160,2,88.83368682861328
gaussian,160,2,89.34498596191406
dirac,160,2,89.4375
orthogonal,160,2,90.18637084960938
sparse0.5,160,2,89.47183227539062
uniform,160,3,88.95496368408203
gaussian,160,3,89.5116195678711
dirac,160,3,89.4375
orthogonal,160,3,89.31974029541016
sparse0.5,160,3,89.45865631103516
uniform,160,4,88.91156768798828
gaussian,160,4,89.46620178222656
dirac,160,4,89.4375
orthogonal,160,4,89.31864166259766
sparse0.5,160,4,89.51242065429688
uniform,160,5,89.2662124633789
gaussian,160,5,89.55410766601562
dirac,160,5,89.4375
orthogonal,160,5,89.2381820678711
sparse0.5,160,5,89.32611083984375
uniform,160,6,89.30252838134766
gaussian,160,6,89.412109375
dirac,160,6,89.4375
orthogonal,160,6,89.67374420166016
sparse0.5,160,6,89.65685272216797
uniform,170,1,89.41548919677734
gaussian,170,1,89.17266845703125
dirac,170,1,89.47058868408203
orthogonal,170,1,89.14114379882812
sparse0.5,170,1,89.29408264160156
uniform,170,2,88.85615539550781
gaussian,170,2,89.18919372558594
dirac,170,2,89.47058868408203
orthogonal,170,2,89.61918640136719
sparse0.5,170,2,89.58915710449219
uniform,170,3,88.94696044921875
gaussian,170,3,89.47550201416016
dirac,170,3,89.47058868408203
orthogonal,170,3,89.7784652709961
sparse0.5,170,3,89.3309555053711
uniform,170,4,89.1874008178711
gaussian,170,4,89.1917953491211
dirac,170,4,89.47058868408203
orthogonal,170,4,89.3420639038086
sparse0.5,170,4,89.28981018066406
uniform,170,5,89.09845733642578
gaussian,170,5,89.20834350585938
dirac,170,5,89.47058868408203
orthogonal,170,5,89.57408142089844
sparse0.5,170,5,89.63469696044922
uniform,170,6,89.20174407958984
gaussian,170,6,89.42931365966797
dirac,170,6,89.47058868408203
orthogonal,170,6,89.7282485961914
sparse0.5,170,6,89.43041229248047
uniform,180,1,89.04820251464844
gaussian,180,1,89.75045013427734
dirac,180,1,89.5
orthogonal,180,1,89.53913116455078
sparse0.5,180,1,89.08317565917969
uniform,180,2,89.20160675048828
gaussian,180,2,89.2137451171875
dirac,180,2,89.5
orthogonal,180,2,89.21748352050781
sparse0.5,180,2,90.02426147460938
uniform,180,3,89.38524627685547
gaussian,180,3,89.3258056640625
dirac,180,3,89.5
orthogonal,180,3,89.416259765625
sparse0.5,180,3,89.32815551757812
uniform,180,4,89.34911346435547
gaussian,180,4,89.41357421875
dirac,180,4,89.5
orthogonal,180,4,89.63265991210938
sparse0.5,180,4,89.32757568359375
uniform,180,5,89.06327819824219
gaussian,180,5,89.27203369140625
dirac,180,5,89.5
orthogonal,180,5,89.55280303955078
sparse0.5,180,5,89.59783935546875
uniform,180,6,89.04004669189453
gaussian,180,6,89.70514678955078
dirac,180,6,89.5
orthogonal,180,6,89.37423706054688
sparse0.5,180,6,89.5042724609375
uniform,190,1,89.48341369628906
gaussian,190,1,89.00839233398438
dirac,190,1,89.52632141113281
orthogonal,190,1,88.98184967041016
sparse0.5,190,1,90.01392364501953
uniform,190,2,89.17636108398438
gaussian,190,2,89.47710418701172
dirac,190,2,89.52632141113281
orthogonal,190,2,89.68345642089844
sparse0.5,190,2,89.28567504882812
uniform,190,3,89.24398040771484
gaussian,190,3,89.5691146850586
dirac,190,3,89.52632904052734
orthogonal,190,3,89.8341064453125
sparse0.5,190,3,89.28516387939453
uniform,190,4,89.24508666992188
gaussian,190,4,89.18951416015625
dirac,190,4,89.52632141113281
orthogonal,190,4,89.43872833251953
sparse0.5,190,4,89.62075805664062
uniform,190,5,89.35910034179688
gaussian,190,5,89.5466079711914
dirac,190,5,89.52632141113281
orthogonal,190,5,89.65245056152344
sparse0.5,190,5,89.30946350097656
uniform,190,6,89.37103271484375
gaussian,190,6,89.3388442993164
dirac,190,6,89.52631378173828
orthogonal,190,6,89.36068725585938
sparse0.5,190,6,89.5191421508789
uniform,200,1,89.26812744140625
gaussian,200,1,89.38069152832031
dirac,200,1,89.55000305175781
orthogonal,200,1,89.6790771484375
sparse0.5,200,1,89.00567626953125
uniform,200,2,89.06295776367188
gaussian,200,2,89.56816101074219
dirac,200,2,89.55000305175781
orthogonal,200,2,89.48005676269531
sparse0.5,200,2,88.92377471923828
uniform,200,3,89.2704086303711
gaussian,200,3,89.29032135009766
dirac,200,3,89.55001068115234
orthogonal,200,3,89.88054656982422
sparse0.5,200,3,89.65939331054688
uniform,200,4,89.25376892089844
gaussian,200,4,89.41414642333984
dirac,200,4,89.55000305175781
orthogonal,200,4,89.26504516601562
sparse0.5,200,4,89.76727294921875
uniform,200,5,89.5418701171875
gaussian,200,5,89.57283020019531
dirac,200,5,89.55000305175781
orthogonal,200,5,89.58527374267578
sparse0.5,200,5,89.50301361083984
uniform,200,6,89.1515884399414
gaussian,200,6,89.7442626953125
dirac,200,6,89.54999542236328
orthogonal,200,6,89.6022720336914
sparse0.5,200,6,89.56290435791016
uniform,210,1,89.11563873291016
gaussian,210,1,89.45515441894531
dirac,210,1,89.5714340209961
orthogonal,210,1,90.03073120117188
sparse0.5,210,1,88.98575592041016
uniform,210,2,89.23494720458984
gaussian,210,2,89.71392822265625
dirac,210,2,89.5714340209961
orthogonal,210,2,89.43559265136719
sparse0.5,210,2,89.32577514648438
uniform,210,3,89.3163833618164
gaussian,210,3,89.76361846923828
dirac,210,3,89.5714340209961
orthogonal,210,3,89.68753051757812
sparse0.5,210,3,89.5353775024414
uniform,210,4,89.25724792480469
gaussian,210,4,89.68812561035156
dirac,210,4,89.5714340209961
orthogonal,210,4,89.61698913574219
sparse0.5,210,4,89.790771484375
uniform,210,5,89.1731185913086
gaussian,210,5,89.61785125732422
dirac,210,5,89.5714340209961
orthogonal,210,5,89.6255874633789
sparse0.5,210,5,89.45169830322266
uniform,210,6,89.32406616210938
gaussian,210,6,89.19525909423828
dirac,210,6,89.5714340209961
orthogonal,210,6,89.59770965576172
sparse0.5,210,6,89.53314208984375
uniform,220,1,89.5100326538086
gaussian,220,1,89.43400573730469
dirac,220,1,89.59091186523438
orthogonal,220,1,89.68941497802734
sparse0.5,220,1,89.71337127685547
uniform,220,2,89.34877014160156
gaussian,220,2,89.43122863769531
dirac,220,2,89.59091186523438
orthogonal,220,2,89.53889465332031
sparse0.5,220,2,89.69947052001953
uniform,220,3,89.54888916015625
gaussian,220,3,89.60808563232422
dirac,220,3,89.59091186523438
orthogonal,220,3,89.5860595703125
sparse0.5,220,3,89.75066375732422
uniform,220,4,89.39275360107422
gaussian,220,4,89.64115905761719
dirac,220,4,89.59091186523438
orthogonal,220,4,89.67729187011719
sparse0.5,220,4,89.67156982421875
uniform,220,5,89.58110046386719
gaussian,220,5,89.67613983154297
dirac,220,5,89.59091186523438
orthogonal,220,5,89.42860412597656
sparse0.5,220,5,89.54867553710938
uniform,220,6,89.25969696044922
gaussian,220,6,89.59148406982422
dirac,220,6,89.59091186523438
orthogonal,220,6,89.4339370727539
sparse0.5,220,6,89.46038818359375
uniform,230,1,89.35369873046875
gaussian,230,1,89.54710388183594
dirac,230,1,89.60869598388672
orthogonal,230,1,89.80609130859375
sparse0.5,230,1,89.970458984375
uniform,230,2,89.49166107177734
gaussian,230,2,89.79655456542969
dirac,230,2,89.60869598388672
orthogonal,230,2,89.93464660644531
sparse0.5,230,2,89.65773010253906
uniform,230,3,89.27801513671875
gaussian,230,3,89.62612915039062
dirac,230,3,89.60869598388672
orthogonal,230,3,89.77425384521484
sparse0.5,230,3,89.599853515625
uniform,230,4,89.28073120117188
gaussian,230,4,89.70414733886719
dirac,230,4,89.60869598388672
orthogonal,230,4,89.47994232177734
sparse0.5,230,4,89.51885223388672
uniform,230,5,89.46977996826172
gaussian,230,5,89.77481079101562
dirac,230,5,89.60869598388672
orthogonal,230,5,89.73136138916016
sparse0.5,230,5,89.58171081542969
uniform,230,6,89.45099639892578
gaussian,230,6,89.7225112915039
dirac,230,6,89.60869598388672
orthogonal,230,6,89.61132049560547
sparse0.5,230,6,89.55870819091797
uniform,240,1,89.85404968261719
gaussian,240,1,89.52444458007812
dirac,240,1,89.625
orthogonal,240,1,90.17974853515625
sparse0.5,240,1,89.8962631225586
uniform,240,2,88.98118591308594
gaussian,240,2,89.644287109375
dirac,240,2,89.625
orthogonal,240,2,89.44603729248047
sparse0.5,240,2,89.12419128417969
uniform,240,3,89.32296752929688
gaussian,240,3,89.56522369384766
dirac,240,3,89.625
orthogonal,240,3,89.82940673828125
sparse0.5,240,3,89.6238784790039
uniform,240,4,89.50674438476562
gaussian,240,4,89.7426986694336
dirac,240,4,89.625
orthogonal,240,4,89.60535430908203
sparse0.5,240,4,89.69657135009766
uniform,240,5,89.44175720214844
gaussian,240,5,89.56607818603516
dirac,240,5,89.625
orthogonal,240,5,89.76314544677734
sparse0.5,240,5,89.76714324951172
uniform,240,6,89.50150299072266
gaussian,240,6,89.4611587524414
dirac,240,6,89.625
orthogonal,240,6,89.58258056640625
sparse0.5,240,6,89.58431243896484
uniform,250,1,89.80655670166016
gaussian,250,1,89.51834106445312
dirac,250,1,89.63999938964844
orthogonal,250,1,89.63323974609375
sparse0.5,250,1,89.4320068359375
uniform,250,2,89.5142822265625
gaussian,250,2,89.44676971435547
dirac,250,2,89.63999938964844
orthogonal,250,2,89.65315246582031
sparse0.5,250,2,89.5715103149414
uniform,250,3,89.60221099853516
gaussian,250,3,89.7955093383789
dirac,250,3,89.6399917602539
orthogonal,250,3,89.5618667602539
sparse0.5,250,3,89.68326568603516
uniform,250,4,89.52135467529297
gaussian,250,4,89.75733184814453
dirac,250,4,89.63999938964844
orthogonal,250,4,89.59269714355469
sparse0.5,250,4,89.8058090209961
uniform,250,5,89.494384765625
gaussian,250,5,89.68217468261719
dirac,250,5,89.63999938964844
orthogonal,250,5,89.70694732666016
sparse0.5,250,5,89.87419128417969
uniform,250,6,89.48445892333984
gaussian,250,6,89.75232696533203
dirac,250,6,89.64000701904297
orthogonal,250,6,89.73615264892578
sparse0.5,250,6,89.58528900146484
uniform,260,1,89.32144165039062
gaussian,260,1,89.71044921875
dirac,260,1,89.65384674072266
orthogonal,260,1,89.35497283935547
sparse0.5,260,1,89.22695922851562
uniform,260,2,89.42133331298828
gaussian,260,2,89.61473083496094
dirac,260,2,89.65384674072266
orthogonal,260,2,89.5611801147461
sparse0.5,260,2,89.84733581542969
uniform,260,3,89.45404052734375
gaussian,260,3,89.68436431884766
dirac,260,3,89.65384674072266
orthogonal,260,3,89.72250366210938
sparse0.5,260,3,89.62283325195312
uniform,260,4,89.66204071044922
gaussian,260,4,89.61834716796875
dirac,260,4,89.65384674072266
orthogonal,260,4,89.49375915527344
sparse0.5,260,4,89.54208374023438
uniform,260,5,89.58653259277344
gaussian,260,5,89.54408264160156
dirac,260,5,89.65384674072266
orthogonal,260,5,89.5965347290039
sparse0.5,260,5,89.7304458618164
uniform,260,6,89.40874481201172
gaussian,260,6,89.58642578125
dirac,260,6,89.65384674072266
orthogonal,260,6,89.68292999267578
sparse0.5,260,6,89.63772583007812
uniform,270,1,89.15943145751953
gaussian,270,1,89.82329559326172
dirac,270,1,89.66667175292969
orthogonal,270,1,89.7162857055664
sparse0.5,270,1,89.62356567382812
uniform,270,2,89.68677520751953
gaussian,270,2,89.63750457763672
dirac,270,2,89.66667175292969
orthogonal,270,2,89.64053344726562
sparse0.5,270,2,89.6993179321289
uniform,270,3,89.42736053466797
gaussian,270,3,89.72869873046875
dirac,270,3,89.66666412353516
orthogonal,270,3,89.65445709228516
sparse0.5,270,3,89.67160034179688
uniform,270,4,89.33173370361328
gaussian,270,4,89.55445098876953
dirac,270,4,89.66667175292969
orthogonal,270,4,89.65879821777344
sparse0.5,270,4,89.72489929199219
uniform,270,5,89.2763900756836
gaussian,270,5,89.84864807128906
dirac,270,5,89.66667175292969
orthogonal,270,5,89.48985290527344
sparse0.5,270,5,89.68760681152344
uniform,270,6,89.64453125
gaussian,270,6,89.86080932617188
dirac,270,6,89.66667938232422
orthogonal,270,6,89.61144256591797
sparse0.5,270,6,89.85906219482422
uniform,280,1,89.13008880615234
gaussian,280,1,90.08088684082031
dirac,280,1,89.67857360839844
orthogonal,280,1,89.93367767333984
sparse0.5,280,1,89.31140899658203
uniform,280,2,89.48827362060547
gaussian,280,2,89.83967590332031
dirac,280,2,89.67857360839844
orthogonal,280,2,89.69493103027344
sparse0.5,280,2,89.92062377929688
uniform,280,3,89.55089569091797
gaussian,280,3,89.5911636352539
dirac,280,3,89.6785659790039
orthogonal,280,3,89.5902328491211
sparse0.5,280,3,89.60660552978516
uniform,280,4,89.22437286376953
