weight_decay,hidden_features,values1,values2,bins
0.2,180,"[0.0, 0.0, 1.0, 0.0, 2.0, 8.0, 6.0, 21.0, 23.0, 41.0, 104.0, 139.0, 235.0, 471.0, 975.0, 2294.0, 4893.0, 9709.0, 31303.0, 27728.0, 9206.0, 4772.0, 2308.0, 1247.0, 684.0, 383.0, 214.0, 167.0, 98.0, 63.0, 34.0, 29.0, 15.0, 14.0, 7.0, 4.0, 1.0, 0.0, 1.0, 0.0]","[2.0, 1.0, 1.0, 4.0, 3.0, 2.0, 16.0, 18.0, 40.0, 73.0, 108.0, 192.0, 317.0, 537.0, 1016.0, 2310.0, 4946.0, 9545.0, 30464.0, 28009.0, 9229.0, 4832.0, 2284.0, 1285.0, 728.0, 463.0, 286.0, 154.0, 105.0, 83.0, 44.0, 32.0, 30.0, 18.0, 6.0, 8.0, 3.0, 2.0, 1.0, 3.0]","[-0.022214744240045547, -0.02101082354784012, -0.01980690285563469, -0.01860298588871956, -0.01739906519651413, -0.01619514636695385, -0.014991226606070995, -0.013787306845188141, -0.012583388015627861, -0.011379468254745007, -0.010175548493862152, -0.008971629664301872, -0.007767709903419018, -0.006563790608197451, -0.0053598713129758835, -0.004155952017754316, -0.0029520324897021055, -0.0017481130780652165, -0.0005441935500130057, 0.0006597258616238832, 0.0018636451568454504, 0.003067564684897661, 0.004271483980119228, 0.005475401878356934, 0.006679319776594639, 0.007883239537477493, 0.009087158367037773, 0.010291078127920628, 0.011494997888803482, 0.012698916718363762, 0.013902836479246616, 0.015106755308806896, 0.01631067506968975, 0.01751459389925003, 0.01871851459145546, 0.01992243342101574, 0.02112635225057602, 0.02233027294278145, 0.023534191772341728, 0.024738110601902008]"
0.2,220,"[0.0, 0.0, 0.0, 0.0, 2.0, 4.0, 5.0, 12.0, 12.0, 46.0, 65.0, 121.0, 191.0, 398.0, 775.0, 1590.0, 3899.0, 13117.0, 53903.0, 49743.0, 12300.0, 4521.0, 2020.0, 1098.0, 559.0, 312.0, 207.0, 127.0, 71.0, 45.0, 21.0, 14.0, 10.0, 7.0, 4.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[1.0, 1.0, 0.0, 3.0, 2.0, 4.0, 6.0, 22.0, 28.0, 51.0, 75.0, 134.0, 249.0, 372.0, 777.0, 1615.0, 3776.0, 12371.0, 54824.0, 49628.0, 12358.0, 4447.0, 1979.0, 1017.0, 559.0, 331.0, 203.0, 129.0, 87.0, 56.0, 33.0, 25.0, 16.0, 8.0, 6.0, 3.0, 2.0, 0.0, 0.0, 2.0]","[-0.02134394645690918, -0.020188214257359505, -0.01903248205780983, -0.017876747995615005, -0.01672101765871048, -0.015565283596515656, -0.014409550465643406, -0.013253817334771156, -0.012098085135221481, -0.010942352004349232, -0.009786618873476982, -0.008630886673927307, -0.0074751535430550575, -0.006319420877844095, -0.005163688212633133, -0.004007955547422171, -0.0028522226493805647, -0.0016964898677542806, -0.0005407569697126746, 0.0006149758119136095, 0.0017707084771245718, 0.0029264413751661777, 0.00408217404037714, 0.005237906239926815, 0.00639363843947649, 0.00754937157034874, 0.008705103769898415, 0.009860836900770664, 0.011016570031642914, 0.012172302231192589, 0.013328035362064838, 0.014483768492937088, 0.015639500692486763, 0.016795232892036438, 0.017950966954231262, 0.019106699153780937, 0.020262431353330612, 0.021418165415525436, 0.02257389761507511, 0.023729629814624786]"
0.4,20,"[6.0, 21.0, 10.0, 19.0, 18.0, 11.0, 10.0, 27.0, 13.0, 17.0, 16.0, 23.0, 26.0, 26.0, 34.0, 19.0, 41.0, 39.0, 78.0, 143.0, 147.0, 66.0, 40.0, 25.0, 33.0, 23.0, 27.0, 29.0, 25.0, 20.0, 17.0, 24.0, 19.0, 13.0, 19.0, 19.0, 28.0, 18.0, 7.0, 4.0]","[2.0, 11.0, 14.0, 14.0, 18.0, 16.0, 25.0, 10.0, 17.0, 29.0, 25.0, 24.0, 15.0, 18.0, 20.0, 32.0, 32.0, 55.0, 76.0, 149.0, 120.0, 81.0, 45.0, 37.0, 24.0, 26.0, 31.0, 32.0, 27.0, 10.0, 24.0, 27.0, 19.0, 14.0, 16.0, 20.0, 14.0, 17.0, 10.0, 4.0]","[-0.1127515360713005, -0.10695216804742813, -0.10115280002355576, -0.09535343199968338, -0.089554063975811, -0.08375470340251923, -0.07795533537864685, -0.07215596735477448, -0.0663565993309021, -0.060557231307029724, -0.05475786328315735, -0.04895849898457527, -0.043159130960702896, -0.03735976666212082, -0.031560398638248444, -0.025761030614376068, -0.019961662590503693, -0.014162295497953892, -0.008362929336726665, -0.0025635622441768646, 0.003235805779695511, 0.009035171940922737, 0.014834538102149963, 0.020633913576602936, 0.026433289051055908, 0.032232657074928284, 0.03803202509880066, 0.043831389397382736, 0.04963075742125511, 0.05543012171983719, 0.061229489743709564, 0.06702885776758194, 0.07282822579145432, 0.07862759381532669, 0.08442696183919907, 0.09022632986307144, 0.09602569043636322, 0.1018250584602356, 0.10762442648410797, 0.11342379450798035]"
0.4,60,"[4.0, 10.0, 38.0, 124.0, 121.0, 127.0, 142.0, 129.0, 166.0, 144.0, 177.0, 162.0, 171.0, 228.0, 265.0, 346.0, 548.0, 1315.0, 2477.0, 1111.0, 581.0, 363.0, 254.0, 222.0, 219.0, 158.0, 154.0, 135.0, 135.0, 136.0, 137.0, 150.0, 148.0, 120.0, 53.0, 15.0, 6.0, 4.0, 5.0, 0.0]","[4.0, 13.0, 58.0, 109.0, 139.0, 125.0, 138.0, 143.0, 150.0, 153.0, 172.0, 143.0, 198.0, 210.0, 244.0, 405.0, 632.0, 1461.0, 2247.0, 1087.0, 548.0, 371.0, 280.0, 229.0, 187.0, 164.0, 160.0, 162.0, 138.0, 146.0, 137.0, 130.0, 140.0, 104.0, 42.0, 15.0, 6.0, 6.0, 1.0, 3.0]","[-0.035682134330272675, -0.03369147330522537, -0.03170081973075867, -0.029710160568356514, -0.02771950326859951, -0.025728845968842506, -0.023738188669085503, -0.0217475313693285, -0.019756874069571495, -0.01776621676981449, -0.015775559470057487, -0.013784902170300484, -0.01179424487054348, -0.009803587570786476, -0.007812930271029472, -0.005822272971272469, -0.0038316156715154648, -0.001840958371758461, 0.00014969892799854279, 0.0021403562277555466, 0.00413101352751255, 0.006121670827269554, 0.008112328127026558, 0.010102987289428711, 0.012093646451830864, 0.014084303751587868, 0.01607496105134487, 0.018065618351101875, 0.02005627565085888, 0.022046932950615883, 0.024037590250372887, 0.02602824755012989, 0.028018904849886894, 0.030009562149643898, 0.03200022131204605, 0.033990874886512756, 0.03598153591156006, 0.037972189486026764, 0.039962850511074066, 0.04195350408554077]"
0.4,100,"[1.0, 0.0, 0.0, 5.0, 2.0, 5.0, 37.0, 131.0, 346.0, 457.0, 471.0, 469.0, 594.0, 658.0, 752.0, 1110.0, 2355.0, 6571.0, 7482.0, 2780.0, 1415.0, 949.0, 761.0, 544.0, 521.0, 469.0, 444.0, 366.0, 181.0, 68.0, 28.0, 7.0, 7.0, 3.0, 3.0, 3.0, 2.0, 2.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 3.0, 4.0, 10.0, 32.0, 105.0, 344.0, 425.0, 463.0, 496.0, 547.0, 624.0, 727.0, 1079.0, 2334.0, 6773.0, 7647.0, 2805.0, 1366.0, 892.0, 700.0, 580.0, 525.0, 444.0, 437.0, 340.0, 177.0, 56.0, 41.0, 10.0, 7.0, 5.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[-0.02297298051416874, -0.021668776869773865, -0.02036457136273384, -0.019060365855693817, -0.017756162211298943, -0.01645195670425892, -0.015147751197218895, -0.01384354755282402, -0.012539342045783997, -0.011235138401389122, -0.009930932894349098, -0.008626727387309074, -0.0073225232772529125, -0.006018318235874176, -0.0047141131944954395, -0.0034099086187779903, -0.002105704043060541, -0.0008014991180971265, 0.0005027058068662882, 0.001806910615414381, 0.00311111519113183, 0.004415320232510567, 0.005719525273889303, 0.007023730780929327, 0.008327936753630638, 0.009632140398025513, 0.010936345905065536, 0.01224055141210556, 0.013544755056500435, 0.014848960563540459, 0.016153166070580482, 0.017457369714975357, 0.01876157522201538, 0.020065780729055405, 0.02136998437345028, 0.022674189880490303, 0.023978393524885178, 0.0252825990319252, 0.026586804538965225, 0.0278910081833601]"
0.4,140,"[1.0, 0.0, 0.0, 2.0, 4.0, 8.0, 20.0, 44.0, 90.0, 309.0, 785.0, 1075.0, 1346.0, 1690.0, 2620.0, 6207.0, 15999.0, 14834.0, 5337.0, 2728.0, 1757.0, 1368.0, 1137.0, 746.0, 353.0, 159.0, 77.0, 43.0, 27.0, 16.0, 13.0, 4.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 7.0, 4.0, 16.0, 22.0, 41.0, 107.0, 298.0, 815.0, 1110.0, 1279.0, 1695.0, 2586.0, 5603.0, 16564.0, 15241.0, 4935.0, 2699.0, 1699.0, 1350.0, 1192.0, 795.0, 343.0, 172.0, 81.0, 55.0, 36.0, 22.0, 12.0, 3.0, 6.0, 3.0, 3.0, 3.0, 0.0, 0.0, 0.0, 1.0]","[-0.015271221287548542, -0.014342805370688438, -0.01341439038515091, -0.01248597539961338, -0.011557559482753277, -0.010629144497215748, -0.009700729511678219, -0.008772313594818115, -0.007843898609280586, -0.006915482692420483, -0.005987067706882954, -0.005058652721345425, -0.004130236804485321, -0.003201821818947792, -0.0022734066005796194, -0.001344991149380803, -0.0004165757563896477, 0.0005118395783938468, 0.0014402548549696803, 0.0023686701897531748, 0.003297085640951991, 0.004225500859320164, 0.005153915844857693, 0.006082332693040371, 0.007010749541223049, 0.007939165458083153, 0.008867580443620682, 0.00979599542915821, 0.010724411346018314, 0.011652826331555843, 0.012581241317093372, 0.013509657233953476, 0.014438072219491005, 0.015366487205028534, 0.016294904053211212, 0.017223317176103592, 0.01815173402428627, 0.0190801490098238, 0.020008563995361328, 0.020936980843544006]"
0.4,180,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 8.0, 10.0, 14.0, 23.0, 53.0, 100.0, 195.0, 493.0, 1383.0, 2882.0, 4598.0, 9042.0, 30241.0, 29014.0, 8743.0, 4567.0, 2867.0, 1507.0, 631.0, 325.0, 215.0, 136.0, 55.0, 47.0, 18.0, 10.0, 8.0, 6.0, 2.0, 3.0, 1.0, 1.0]","[1.0, 0.0, 1.0, 1.0, 4.0, 1.0, 5.0, 4.0, 11.0, 9.0, 15.0, 40.0, 49.0, 93.0, 224.0, 449.0, 1433.0, 2777.0, 4398.0, 8901.0, 30187.0, 29838.0, 8472.0, 4355.0, 2940.0, 1530.0, 642.0, 349.0, 198.0, 107.0, 56.0, 43.0, 27.0, 6.0, 12.0, 7.0, 10.0, 3.0, 1.0, 1.0]","[-0.015467223711311817, -0.014711849391460419, -0.013956474140286446, -0.013201098889112473, -0.012445724569261074, -0.011690349318087101, -0.010934974066913128, -0.01017959974706173, -0.009424224495887756, -0.008668849244713783, -0.007913474924862385, -0.007158099673688412, -0.006402725353837013, -0.00564735010266304, -0.004891974851489067, -0.004136600531637669, -0.003381225513294339, -0.0026258504949510098, -0.0018704755930230021, -0.0011151006910949945, -0.00035972590558230877, 0.00039564911276102066, 0.00115102413110435, 0.0019063993822783232, 0.0026617746334522963, 0.0034171496517956257, 0.0041725244373083115, 0.0049278996884822845, 0.005683274008333683, 0.006438649259507656, 0.007194024510681629, 0.007949398830533028, 0.008704774081707, 0.009460149332880974, 0.010215523652732372, 0.010970898903906345, 0.011726273223757744, 0.012481648474931717, 0.01323702372610569, 0.013992398045957088]"
0.4,220,"[0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 4.0, 10.0, 15.0, 20.0, 46.0, 76.0, 176.0, 332.0, 753.0, 2111.0, 7217.0, 20819.0, 75428.0, 24154.0, 8682.0, 2994.0, 1225.0, 526.0, 275.0, 139.0, 79.0, 40.0, 31.0, 14.0, 9.0, 11.0, 3.0, 1.0, 1.0, 2.0, 2.0, 0.0, 0.0, 1.0]","[1.0, 0.0, 1.0, 0.0, 3.0, 2.0, 6.0, 7.0, 10.0, 25.0, 56.0, 87.0, 156.0, 334.0, 691.0, 1796.0, 6835.0, 20271.0, 78706.0, 23138.0, 8227.0, 2660.0, 1021.0, 515.0, 279.0, 155.0, 75.0, 56.0, 37.0, 18.0, 14.0, 5.0, 4.0, 4.0, 1.0, 2.0, 0.0, 1.0, 1.0, 0.0]","[-0.014313850551843643, -0.013521542772650719, -0.012729234993457794, -0.011936928145587444, -0.01114462036639452, -0.010352312587201595, -0.00956000480800867, -0.008767697028815746, -0.007975389249622822, -0.007183081470429897, -0.00639077415689826, -0.005598466843366623, -0.004806159064173698, -0.004013851284980774, -0.003221543738618493, -0.002429236425086856, -0.0016369289951398969, -0.0008446213905699551, -5.231372779235244e-05, 0.0007399938767775893, 0.0015323014231398702, 0.002324609085917473, 0.0031169166322797537, 0.003909223712980747, 0.004701530560851097, 0.005493838340044022, 0.006286145653575659, 0.007078452967107296, 0.00787076074630022, 0.008663068525493145, 0.00945537630468607, 0.010247684083878994, 0.011039990931749344, 0.011832298710942268, 0.012624606490135193, 0.013416914269328117, 0.014209222048521042, 0.015001529827713966, 0.01579383760690689, 0.016586143523454666]"
0.6,20,"[18.0, 14.0, 15.0, 10.0, 23.0, 22.0, 17.0, 10.0, 17.0, 19.0, 28.0, 19.0, 17.0, 22.0, 32.0, 27.0, 42.0, 52.0, 87.0, 199.0, 97.0, 57.0, 41.0, 35.0, 30.0, 22.0, 19.0, 27.0, 28.0, 16.0, 14.0, 12.0, 16.0, 21.0, 15.0, 16.0, 15.0, 11.0, 12.0, 6.0]","[14.0, 22.0, 16.0, 12.0, 27.0, 22.0, 24.0, 12.0, 25.0, 20.0, 9.0, 30.0, 18.0, 15.0, 23.0, 22.0, 31.0, 54.0, 102.0, 172.0, 99.0, 52.0, 42.0, 35.0, 30.0, 21.0, 20.0, 19.0, 28.0, 27.0, 16.0, 15.0, 21.0, 16.0, 15.0, 20.0, 24.0, 10.0, 14.0, 6.0]","[-0.1066562682390213, -0.10107263922691345, -0.095489002764225, -0.08990537375211716, -0.08432174474000931, -0.07873810827732086, -0.07315447926521301, -0.06757085025310516, -0.06198721379041672, -0.05640358105301857, -0.05081994831562042, -0.04523631930351257, -0.039652690291404724, -0.03406905382871628, -0.02848542481660843, -0.02290179580450058, -0.01731816679239273, -0.011734534054994583, -0.0061509027145802975, -0.0005672713741660118, 0.0050163595005869865, 0.01059999130666256, 0.016183622181415558, 0.021767251193523407, 0.027350880205631256, 0.032934512943029404, 0.03851814568042755, 0.0441017746925354, 0.04968540370464325, 0.055269040167331696, 0.060852669179439545, 0.0664362981915474, 0.07201993465423584, 0.07760356366634369, 0.08318719267845154, 0.08877082169055939, 0.09435445815324783, 0.09993808716535568, 0.10552172362804413, 0.11110535264015198]"
0.6,60,"[5.0, 44.0, 94.0, 128.0, 130.0, 125.0, 106.0, 144.0, 134.0, 135.0, 153.0, 178.0, 186.0, 224.0, 225.0, 343.0, 617.0, 1848.0, 2419.0, 904.0, 462.0, 288.0, 242.0, 177.0, 174.0, 157.0, 169.0, 152.0, 139.0, 109.0, 139.0, 111.0, 110.0, 108.0, 86.0, 26.0, 7.0, 1.0, 0.0, 1.0]","[4.0, 30.0, 113.0, 119.0, 132.0, 126.0, 103.0, 137.0, 141.0, 163.0, 153.0, 195.0, 171.0, 217.0, 252.0, 307.0, 638.0, 1929.0, 2303.0, 890.0, 494.0, 285.0, 249.0, 187.0, 169.0, 169.0, 162.0, 136.0, 131.0, 127.0, 127.0, 130.0, 121.0, 110.0, 67.0, 10.0, 2.0, 0.0, 0.0, 1.0]","[-0.033561527729034424, -0.03166690468788147, -0.029772277921438217, -0.027877654880285263, -0.02598303183913231, -0.024088408797979355, -0.022193782031536102, -0.020299158990383148, -0.018404535949230194, -0.01650991290807724, -0.014615288004279137, -0.012720663100481033, -0.01082604005932808, -0.008931415155529976, -0.0070367916487157345, -0.005142167676240206, -0.003247543703764677, -0.0013529197312891483, 0.0005417042411863804, 0.002436328213661909, 0.004330952186137438, 0.0062255761586129665, 0.008120199665427208, 0.010014824569225311, 0.011909447610378265, 0.013804072514176369, 0.015698697417974472, 0.017593320459127426, 0.01948794350028038, 0.021382566541433334, 0.023277193307876587, 0.02517181634902954, 0.027066439390182495, 0.02896106243133545, 0.030855689197778702, 0.032750312238931656, 0.03464493528008461, 0.03653956204652786, 0.03843418508768082, 0.04032880812883377]"
0.6,100,"[0.0, 0.0, 3.0, 6.0, 41.0, 160.0, 320.0, 358.0, 328.0, 391.0, 351.0, 435.0, 494.0, 529.0, 564.0, 838.0, 1491.0, 4416.0, 8819.0, 3589.0, 1699.0, 954.0, 725.0, 553.0, 478.0, 390.0, 407.0, 397.0, 363.0, 321.0, 311.0, 184.0, 61.0, 8.0, 6.0, 3.0, 4.0, 3.0, 0.0, 0.0]","[2.0, 2.0, 2.0, 7.0, 30.0, 171.0, 315.0, 370.0, 322.0, 377.0, 397.0, 433.0, 459.0, 510.0, 629.0, 846.0, 1573.0, 4454.0, 8719.0, 3578.0, 1669.0, 992.0, 653.0, 549.0, 456.0, 429.0, 401.0, 365.0, 383.0, 331.0, 318.0, 168.0, 53.0, 19.0, 10.0, 4.0, 1.0, 1.0, 1.0, 1.0]","[-0.01806987076997757, -0.017066432163119316, -0.016062993556261063, -0.015059554018080235, -0.014056114479899406, -0.013052675873041153, -0.012049236334860325, -0.011045796796679497, -0.010042358189821243, -0.009038918651640415, -0.008035479113459587, -0.007032040506601334, -0.0060286009684205055, -0.005025161895900965, -0.004021722823381424, -0.0030182835180312395, -0.0020148444455116987, -0.0010114051401615143, -7.965951226651669e-06, 0.000995473237708211, 0.0019989123102277517, 0.003002351615577936, 0.004005790688097477, 0.005009228363633156, 0.006012666039168835, 0.007016105577349663, 0.008019544184207916, 0.009022983722388744, 0.010026423260569572, 0.011029861867427826, 0.012033301405608654, 0.013036740943789482, 0.014040179550647736, 0.015043619088828564, 0.016047056764364243, 0.017050497233867645, 0.018053937703371048, 0.019057374447584152, 0.020060814917087555, 0.021064255386590958]"
0.6,140,"[1.0, 0.0, 0.0, 3.0, 7.0, 7.0, 16.0, 49.0, 191.0, 508.0, 668.0, 766.0, 817.0, 1008.0, 1140.0, 1625.0, 2572.0, 6102.0, 14486.0, 13783.0, 5281.0, 2738.0, 1687.0, 1157.0, 979.0, 835.0, 779.0, 747.0, 475.0, 205.0, 82.0, 34.0, 27.0, 6.0, 4.0, 9.0, 0.0, 1.0, 3.0, 2.0]","[0.0, 0.0, 0.0, 3.0, 4.0, 10.0, 22.0, 52.0, 188.0, 511.0, 695.0, 745.0, 735.0, 950.0, 1104.0, 1455.0, 2516.0, 5968.0, 14742.0, 13923.0, 5304.0, 2844.0, 1713.0, 1150.0, 992.0, 912.0, 771.0, 627.0, 485.0, 211.0, 82.0, 35.0, 23.0, 12.0, 10.0, 4.0, 1.0, 1.0, 0.0, 0.0]","[-0.011666065081954002, -0.011034879833459854, -0.010403692722320557, -0.009772507473826408, -0.009141321294009686, -0.008510135114192963, -0.007878949865698814, -0.007247763220220804, -0.006616577040404081, -0.0059853908605873585, -0.005354205146431923, -0.0047230189666152, -0.004091832786798477, -0.0034606466069817543, -0.0028294608928263187, -0.002198274713009596, -0.001567088533192873, -0.0009359025279991329, -0.00030471646459773183, 0.0003264695988036692, 0.0009576557204127312, 0.0015888417838141322, 0.0022200276143848896, 0.0028512142598628998, 0.00348240090534091, 0.004113587085157633, 0.004744772799313068, 0.005375958979129791, 0.006007145158946514, 0.006638331338763237, 0.0072695170529186726, 0.007900703698396683, 0.008531888946890831, 0.009163076058030128, 0.009794261306524277, 0.010425447486341, 0.011056633666157722, 0.01168781891465187, 0.012319006025791168, 0.012950191274285316]"
0.6,180,"[0.0, 0.0, 0.0, 4.0, 3.0, 5.0, 10.0, 35.0, 63.0, 112.0, 345.0, 1196.0, 1974.0, 2601.0, 4032.0, 8867.0, 27254.0, 29747.0, 9228.0, 4608.0, 2827.0, 2100.0, 1262.0, 453.0, 214.0, 123.0, 63.0, 32.0, 13.0, 13.0, 7.0, 5.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 4.0, 5.0, 12.0, 27.0, 40.0, 118.0, 322.0, 1147.0, 2006.0, 2623.0, 4175.0, 8920.0, 27861.0, 29206.0, 8958.0, 4506.0, 2858.0, 2136.0, 1306.0, 522.0, 209.0, 117.0, 57.0, 24.0, 12.0, 6.0, 10.0, 3.0, 5.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[-0.009416822344064713, -0.008847340010106564, -0.008277857676148415, -0.007708374876528978, -0.007138892076909542, -0.006569409742951393, -0.005999926943331957, -0.005430444143712521, -0.004860961809754372, -0.004291479010134935, -0.0037219964433461428, -0.00315251387655735, -0.002583031076937914, -0.0020135485101491213, -0.0014440659433603287, -0.0008745833765715361, -0.00030510066426359117, 0.00026438196073286235, 0.0008338646148331463, 0.0014033472398295999, 0.0019728299230337143, 0.002542312489822507, 0.0031117950566112995, 0.0036812773905694485, 0.004250760190188885, 0.004820242524147034, 0.005389724858105183, 0.005959207657724619, 0.006528690457344055, 0.007098172791302204, 0.00766765559092164, 0.008237138390541077, 0.008806620724499226, 0.009376103058457375, 0.009945586323738098, 0.010515068657696247, 0.011084550991654396, 0.01165403425693512, 0.012223516590893269, 0.012792998924851418]"
0.6,220,"[0.0, 0.0, 0.0, 1.0, 3.0, 7.0, 10.0, 8.0, 26.0, 45.0, 105.0, 192.0, 371.0, 989.0, 3699.0, 7733.0, 23106.0, 76122.0, 18631.0, 7844.0, 3766.0, 1299.0, 607.0, 280.0, 142.0, 94.0, 47.0, 31.0, 19.0, 13.0, 4.0, 2.0, 3.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 1.0, 2.0, 2.0, 10.0, 18.0, 25.0, 53.0, 97.0, 192.0, 371.0, 1012.0, 3764.0, 7854.0, 23057.0, 75898.0, 18550.0, 7909.0, 3772.0, 1327.0, 630.0, 287.0, 157.0, 73.0, 58.0, 34.0, 18.0, 13.0, 7.0, 4.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[-0.009456820785999298, -0.008899660781025887, -0.008342498913407326, -0.00778533797711134, -0.007228177040815353, -0.006671016104519367, -0.006113854702562094, -0.0055566937662661076, -0.004999532829970121, -0.004442371893674135, -0.0038852107245475054, -0.0033280495554208755, -0.0027708886191248894, -0.002213727682828903, -0.0016565663972869515, -0.0010994053445756435, -0.0005422443500719965, 1.4916702639311552e-05, 0.0005720777553506196, 0.0011292388662695885, 0.0016863998025655746, 0.002243560738861561, 0.0028007221408188343, 0.003357882145792246, 0.003915042150765657, 0.004472203087061644, 0.005029364489018917, 0.005586525425314903, 0.0061436863616108894, 0.006700847297906876, 0.007258008699864149, 0.007815169170498848, 0.008372331038117409, 0.00892949104309082, 0.009486652910709381, 0.010043812915682793, 0.010600974783301353, 0.011158136650919914, 0.011715296655893326, 0.012272458523511887]"
